n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,cequa,ccc,cct1,cct2,VA_T2F,VB_T2F,VC_T2F,VA_TRIF,VB_TRIF,VC_TRIF,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.2,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.27599,14088.80755,14086.6883,14004.55239,13996.84414,13976.17568,2.756255772,2.776688501,2.766209026,1.776906391,2.007177604,1.776909969
0.25,1,1e-05,1e-05,40,13.33,13.33,45.255206,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,3329.1023,7554.5157,8031.1489,5275.7048,6748.6413,7245.1583,113.67161,83.367894,74.423892,101.74848,88.305053,84.661227
0.25,2,1e-05,1000000,40,20,1000000,51.92520597,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10368.69865,14824.98455,7874.686537,10291.73003,14754.06725,7646.863468,69.50253269,2.527868622,71.53240303,71.49534025,2.006345299,72.95125611
0.25,3,1000000,1e-05,40,1000000,20,51.92520597,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14902.5983,7844.20185,10383.88795,14775.11751,7677.187131,10232.1193,3.032875823,72.17939549,70.13476942,1.804388934,73.34141508,72.05363871
0.25,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,6047.058938,10452.12834,14377.78431,6056.516249,10325.25256,14315.663,82.07596981,80.32742531,2.766147243,82.22608033,81.09725071,1.750184282
0.25,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.2749,14088.80698,14086.6876,14004.55277,13996.84752,13976.17697,2.756247809,2.776680558,2.766205486,1.776889255,2.007167108,1.776908225
0.3,1,1e-05,1e-05,40,13.33,13.33,43.126859,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,3854.9649,7628.9895,8121.0213,5677.9897,6938.752,7385.6596,109.20924,81.649562,73.160473,97.682154,86.171082,82.69182
0.3,2,1e-05,1000000,40,20,1000000,49.7968589,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10440.55996,14801.44974,7965.027857,10364.4275,14739.3879,7785.332365,67.92299028,2.541299535,69.95715507,69.57986725,2.006402952,71.04385436
0.3,3,1000000,1e-05,40,1000000,20,49.7968589,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14874.59108,7934.913811,10454.20118,14764.95273,7818.904525,10299.6963,3.016491707,70.56721492,68.51958204,1.801849713,71.48361183,70.18921113
0.3,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,6384.476244,10481.85268,14428.98847,6394.682282,10350.16717,14371.24342,79.19731566,77.40562489,2.766141919,79.39867674,78.23980709,1.751647161
0.3,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.27381,14088.80642,14086.68689,14004.55295,13996.85017,13976.17792,2.75623984,2.776672614,2.766201944,1.776874222,2.007157443,1.776905857
0.35,1,1e-05,1e-05,40,13.33,13.33,40.998512,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,4341.5986,7714.758,8208.2873,6050.8458,7122.5282,7523.8203,104.98196,79.951462,71.937987,93.877825,84.09313,80.812893
0.35,2,1e-05,1000000,40,20,1000000,47.66851184,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10509.8896,14779.23477,8054.473225,10435.14052,14725.22501,7919.464735,66.41229996,2.554189497,68.45059907,67.76163012,2.006458766,69.23328328
0.35,3,1000000,1e-05,40,1000000,20,47.66851184,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14848.10563,8024.914199,10522.12574,14754.86676,7955.745532,10365.87227,3.000918442,69.02532294,66.97480237,1.799591478,69.71658063,68.41588367
0.35,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,6698.253414,10520.32791,14472.04713,6709.146527,10384.55405,14418.15837,76.48923459,74.65795345,2.76613661,76.73153907,75.54506719,1.752895527
0.35,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.27272,14088.80586,14086.68619,14004.55294,13996.85209,13976.17852,2.756231866,2.776664667,2.766198401,1.776861267,2.007148576,1.776902839
0.4,1,1e-05,1e-05,40,13.33,13.33,38.870165,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,4792.1525,7808.3028,8293.0715,6396.6986,7299.6036,7658.9066,100.98338,78.282516,70.75451,90.316564,82.07595,79.018001
0.4,2,1e-05,1000000,40,20,1000000,45.54016478,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10576.7997,14758.23836,8142.795343,10503.84938,14711.55857,8049.241767,64.96606694,2.566569356,67.00834999,66.03346401,2.006512976,67.51241209
0.4,3,1000000,1e-05,40,1000000,20,45.54016478,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14823.02751,8113.944048,10587.75888,14744.88747,8087.786308,10430.56371,2.986101537,67.54923363,65.49593602,1.797591566,68.03394582,66.72725311
0.4,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,6990.287437,10565.4565,14508.18055,7001.84419,10426.24674,14457.68507,73.93987361,72.07217808,2.766131287,74.2145692,73.00267552,1.753950658
0.4,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.27163,14088.8053,14086.68548,14004.55274,13996.85326,13976.17877,2.756223886,2.77665672,2.766194855,1.776850363,2.007140468,1.77689914
0.45,1,1e-05,1e-05,40,13.33,13.33,36.741818,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,5209.6173,7906.8513,8375.4886,6717.8505,7469.8314,7790.4409,97.204906,76.64922,69.608232,86.980327,80.122386,77.30135
0.45,2,1e-05,1000000,40,20,1000000,43.41181771,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10641.39851,14738.36858,8229.817563,10570.55643,14698.36836,8174.698651,63.5802602,2.578467396,65.6263866,64.38887946,2.006565702,65.87478183
0.45,3,1000000,1e-05,40,1000000,20,43.41181771,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14799.25309,8201.80026,10651.19577,14735.03631,8215.138177,10493.71621,2.971991561,66.13483335,64.07885897,1.795829405,66.42989852,65.11748599
0.45,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,7262.382321,10615.53723,14538.41645,7274.601052,10473.47189,14490.9039,71.53800871,69.63674123,2.766125974,71.83798533,70.60262314,1.754831871
0.45,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.27054,14088.80474,14086.68477,14004.55233,13996.8537,13976.17867,2.7562159,2.77664877,2.766191308,1.776841489,2.007133089,1.77689474
0.5,1,1e-05,1e-05,40,13.33,13.33,34.613471,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,5596.7938,8008.2552,8455.6444,7016.4445,7633.2191,7918.1338,93.636569,75.056137,68.497456,83.852121,78.233832,75.657707
0.5,2,1e-05,1000000,40,20,1000000,41.28347065,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10703.78976,14719.5426,8315.405189,10635.28084,14685.63441,8295.908934,62.25117842,2.589911803,64.30101724,62.82198608,2.006616911,64.31452931
0.5,3,1000000,1e-05,40,1000000,20,41.28347065,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14776.68842,8288.325522,10712.52828,14725.3304,8337.936436,10555.29873,2.958537495,64.77834185,62.71978964,1.79428646,64.89913769,63.58125921
