n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,cequa,ccc,cct1,cct2,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.3,3,1000000,1e-05,40,1000000,20,49.7968589,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01384247541,69.15429827,69.14350045,1.801849713,71.48361183,70.18921113
0.3,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,78.13582988,78.1265144,0.0119586414,79.39867674,78.23980709,1.751647161
0.3,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975758634,0.007975758651,0.007975623725,1.776874222,2.007157443,1.776905857
0.35,1,1e-05,1e-05,40,13.33,13.33,40.99851,1.714839e-07,1.285476e-07,3.000315e-07,3.000315e-07,104.8872,79.97882,71.86616,93.87783,84.09313,80.81289
0.35,2,1e-05,1000000,40,20,1000000,47.66851184,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,67.62866984,0.01045906667,67.63450968,67.76163012,2.006458766,69.23328328
0.35,3,1000000,1e-05,40,1000000,20,47.66851184,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01371377728,67.63690134,67.62628041,1.799591478,69.71658063,68.41588367
0.35,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,75.41244649,75.40327116,0.01195861948,76.73153907,75.54506719,1.752895527
0.35,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975736374,0.007975736427,0.007975613972,1.776861267,2.007148576,1.776902839
0.4,1,1e-05,1e-05,40,13.33,13.33,38.87016,1.714839e-07,1.285476e-07,3.000315e-07,3.000315e-07,100.8949,78.29785,70.69095,90.31656,82.07595,79.018
0.4,2,1e-05,1000000,40,20,1000000,45.54016478,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,66.17626555,0.01054952366,66.18224593,66.03346401,2.006512976,67.51241209
