tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,cequa,ccc,cct1,cct2,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,1e-05,1e-05,40,13.33,13.33,13.3726,1.71484e-07,1.28548e-07,3.00032e-07,3.00032e-07,67.229,61.5157,59.0686,61.0554,62.7168,62.3604
2,1e-05,1000000,40,20,1000000,20.04256694,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,52.6091602,0.01144210469,52.61645164,50.44138744,2.007072081,51.98767106
3,1000000,1e-05,40,1000000,20,20.04256694,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.012502903,52.61724523,52.60837576,1.787936338,52.72390468,51.36159008
4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,51.17623571,51.16838134,0.01195833444,52.65854606,51.25022847,1.756960385
5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975447007,0.007975447527,0.007975487184,1.776873609,2.007093562,1.776795244
