tipoCurto,IA_Sim,IB_Sim,IC_Sim,IA_Calc,IB_Calc,IC_Calc
1,67.229,61.5157,59.0686,67.2362,61.5222,59.074
2,52.5768,0.114206,52.6495,52.5818,0.114196,52.6545
3,0.12481,52.6574,52.5689,0.124803,52.6624,52.5739
4,57.3124,57.2247,0.119386,57.3187,57.231,0.119377
