n,tipoCurto,IA_Sim,IB_Sim,IC_Sim,IA_Calc,IB_Calc,IC_Calc
0.001,1,139.2138,91.76655,81.27597,139.2475,91.78848,81.28563
0.001,2,79.8399,0.0973321,79.8863,79.8517,0.097325,79.8982
0.001,3,0.147654,79.9232,79.8029,0.147647,79.9351,79.8147
0.001,4,110.7346,110.619,0.1194295,110.7631,110.6474,0.1194209
0.1,1,128.3753,88.59086,78.36975,128.4039,88.61026,78.3788
0.1,2,75.9433,0.0995035,75.9935,75.9539,0.0994959,76.0041
0.1,3,0.144186,76.0262,75.9104,0.144178,76.0369,75.9211
0.1,4,103.1526,103.0399,0.1194251,103.1769,103.0643,0.1194165
0.15,1,123.207,86.88932,76.97818,123.2332,86.9075,76.98693
0.15,2,74.1158,0.100553,74.1677,74.1259,0.100546,74.1779
0.15,3,0.142579,74.1985,74.0849,0.142572,74.2087,74.095
0.15,4,99.4711,99.36,0.119423,99.4936,99.3825,0.119414
0.2,1,118.269,85.15882,75.63433,118.2931,85.17584,75.64281
0.2,2,72.3738,0.101572,72.4274,72.3835,0.101564,72.4371
0.2,3,0.141061,72.4564,72.3448,0.141053,72.4661,72.3544
0.2,4,95.9174,95.808,0.119421,95.9381,95.8287,0.119412
0.25,1,113.5695,83.4201,74.33583,113.5916,83.43602,74.34405
0.25,2,70.7115,0.10256,70.7668,70.7207,0.102552,70.776
0.25,3,0.139624,70.794,70.6843,0.139616,70.8032,70.6935
0.25,4,92.504,92.3962,0.119419,92.5231,92.4153,0.11941
0.3,1,109.11,81.68931,73.08047,109.1302,81.70421,73.08843
0.3,2,69.1236,0.103518,69.1804,69.1324,0.103509,69.1892
0.3,3,0.138263,69.2059,69.0981,0.138255,69.2147,69.1069
0.3,4,89.2376,89.1314,0.119416,89.2552,89.149,0.119408
0.35,1,104.8872,79.97882,71.86616,104.9059,79.99276,71.87388
0.35,2,67.6052,0.104446,67.6634,67.6136,0.104437,67.6718
0.35,3,0.136971,67.6873,67.5813,0.136963,67.6957,67.5897
0.35,4,86.1208,86.0162,0.119414,86.137,86.0324,0.119406
0.4,1,100.8949,78.29785,70.69095,100.912,78.31091,70.69845
0.4,2,66.1518,0.105345,66.2115,66.1599,0.105336,66.2195
0.4,3,0.135745,66.2338,66.1294,0.135737,66.2418,66.1375
0.4,4,83.153,83.05,0.119412,83.168,83.065,0.119403
0.45,1,97.1242,76.6531,69.553,97.14,76.6654,69.5603
0.45,2,64.7594,0.106216,64.8204,64.7671,0.106207,64.8281
0.45,3,0.13458,64.8413,64.7385,0.134572,64.849,64.7462
0.45,4,80.3315,80.2301,0.11941,80.3453,80.2439,0.119401
0.5,1,93.5651,75.0493,68.4506,93.5797,75.0608,68.4577
0.5,2,63.4242,0.10706,63.4865,63.4316,0.107052,63.4939
0.5,3,0.133471,63.5059,63.4048,0.133463,63.5133,63.4121
