n,tipoCurto,IA_Sim,IB_Sim,IC_Sim,IA_Calc,IB_Calc,IC_Calc
0.5,4,77.6518,77.5518,0.119408,77.6646,77.5646,0.119399
0.55,1,90.2066,73.4895,67.3822,90.2201,73.5003,67.3891
0.55,2,62.1428,0.107878,62.2063,62.1499,0.107869,62.2134
0.55,3,0.132415,62.2244,62.1247,0.132407,62.2315,62.1318
0.55,4,75.1084,75.0099,0.119405,75.1203,75.0218,0.119397
0.6,1,87.0375,71.9757,66.3462,87.0499,71.9858,66.3528
0.6,2,60.912,0.108671,60.9767,60.9188,0.108662,60.9834
0.6,3,0.131409,60.9934,60.8952,0.131401,61.0002,60.902
0.6,4,72.6954,72.5983,0.119403,72.7063,72.6092,0.119395
0.65,1,84.0465,70.5087,65.3411,84.0581,70.5183,65.3476
0.65,2,59.7288,0.109439,59.7946,59.7353,0.10943,59.8011
0.65,3,0.130449,59.8102,59.7133,0.130441,59.8167,59.7198
0.65,4,70.4061,70.3104,0.119401,70.4163,70.3206,0.119392
0.7,1,81.2227,69.0888,64.3657,81.2334,69.0978,64.372
0.7,2,58.5906,0.110184,58.6575,58.5969,0.110175,58.6638
0.7,3,0.129533,58.6718,58.5763,0.129525,58.6781,58.5826
0.7,4,68.2341,68.1397,0.119399,68.2436,68.1492,0.11939
0.75,1,78.5553,67.7156,63.4186,78.5653,67.7241,63.4247
0.75,2,57.4948,0.110906,57.5628,57.5009,0.110897,57.5688
0.75,3,0.128657,57.5759,57.4817,0.128649,57.582,57.4877
0.75,4,66.1729,66.0797,0.119397,66.1817,66.0885,0.119388
0.8,1,76.0342,66.3883,62.4987,76.0435,66.3964,62.5047
0.8,2,56.4392,0.111606,56.5082,56.445,0.111597,56.514
0.8,3,0.12782,56.5202,56.4272,0.127812,56.526,56.433
0.8,4,64.216,64.1239,0.119395,64.2242,64.1322,0.119386
0.85,1,73.6498,65.106,61.6048,73.6585,65.1136,61.6106
0.85,2,55.4215,0.112285,55.4914,55.4271,0.112276,55.497
0.85,3,0.127019,55.5024,55.4106,0.127011,55.508,55.4162
0.85,4,62.3572,62.2663,0.119392,62.3649,62.274,0.119384
0.9,1,71.393,63.8674,60.7358,71.4012,63.8746,60.7415
0.9,2,54.4397,0.112945,54.5107,54.4451,0.112936,54.516
0.9,3,0.126251,54.5205,54.4299,0.126243,54.5259,54.4353
0.9,4,60.5907,60.5009,0.11939,60.5979,60.5081,0.119382
0.95,1,69.2554,62.6711,59.8907,69.263,62.678,59.8963
0.95,2,53.4921,0.113584,53.5639,53.4973,0.113575,53.5691
0.95,3,0.125516,53.5728,53.4832,0.125508,53.578,53.4884
0.95,4,58.9109,58.8222,0.119388,58.9176,58.8289,0.119379
0.999,1,67.2685,61.5384,59.0849,67.2756,61.545,59.0902
0.999,2,52.5948,0.114193,52.6674,52.5998,0.114184,52.6725
0.999,3,0.124824,52.6754,52.5869,0.124816,52.6804,52.5919
0.999,4,57.3436,57.2559,0.119386,57.3499,57.2622,0.119377
