index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,Tempo_Abertura_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor,Tempo_Abertura_C_Consumidor
1,1,1,14.9787,1.64281,2.7155,15.0145,1.63362,2.7047,14.9155,1.65919,2.7308,14.9238,1.65703,2.7318,15.0239,1.63122,2.7026,14.9603,1.64754,2.7187,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
2,1,2,14.9786,1.64281,2.7155,15.0145,1.63362,2.7047,14.9155,1.65919,2.7308,14.9238,1.65703,2.7318,15.0239,1.63122,2.7026,14.9603,1.64754,2.7187,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
3,1,3,14.9789,1.64276,2.7154,5.18859,27.8906,28.9632,9.8631,4.54955,5.6231,14.3337,1.82229,2.8952,11.6232,3.01786,4.0902,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
4,1,4,14.981,1.64221,2.7149,5.38556,24.804,25.8771,9.62099,4.84804,5.9217,14.2007,1.86294,2.9359,11.7517,2.93762,4.0102,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
5,1,5,5.09481,29.5591,30.6382,9.92425,4.47849,5.5498,14.9155,1.65919,2.7308,11.5234,3.08251,4.1555,2.96828,Inf,Inf,14.3291,1.8237,2.895,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
6,1,6,5.2407,27.0221,28.101,9.73015,4.70995,5.7814,14.9155,1.65919,2.7308,11.6218,3.01877,4.0915,0,Inf,Inf,14.2224,1.85622,2.9276,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
7,1,7,9.87686,4.53342,5.6053,15.0139,1.63378,2.7048,5.21594,27.4299,28.5023,0,Inf,Inf,14.3612,1.81408,2.8852,11.6575,2.99613,4.0674,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
8,1,8,9.63208,4.83374,5.9056,15.0117,1.63433,2.7054,5.40866,24.4749,25.5474,0,Inf,Inf,14.2244,1.85559,2.9267,11.7818,2.91925,3.9906,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
9,1,9,3.8678,Inf,Inf,0,Inf,Inf,3.2436,Inf,Inf,3.8185,Inf,Inf,3.3587,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
10,1,10,3.60773,Inf,Inf,4.31815,51.1663,52.2386,0,Inf,Inf,0,Inf,Inf,4.37485,48.9255,49.9977,3.46865,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
11,1,11,0,Inf,Inf,3.43534,Inf,Inf,3.78766,Inf,Inf,3.16722,Inf,Inf,2.73635,Inf,Inf,3.90279,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
12,1,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
13,2,1,23.4627,0.588015,1.6602,23.5662,0.582233,1.6531,23.3199,0.596129,1.6675,23.3322,0.595422,1.6696,23.5792,0.581514,1.6527,23.4369,0.589468,1.6604,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
14,2,2,23.4627,0.588016,1.6602,23.5662,0.582234,1.6531,23.3199,0.596129,1.6675,23.3322,0.595422,1.6696,23.5792,0.581515,1.6527,23.4369,0.589468,1.6604,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
15,2,3,23.4869,0.586655,1.6588,9.48168,5.0332,6.1054,14.0454,1.91211,2.9852,21.6634,0.703688,1.7762,19.0246,0.944929,2.0169,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
16,2,4,23.4899,0.586489,1.6586,9.66867,4.78698,5.8596,13.8349,1.98188,3.0549,21.5474,0.712271,1.7847,19.1408,0.931889,2.004,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
17,2,5,9.34332,5.22774,6.3049,14.0356,1.91527,2.9864,23.3199,0.596129,1.6675,18.8435,0.965795,2.0376,0,Inf,Inf,21.5587,0.711428,1.7825,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
18,2,6,9.48178,5.03307,6.1101,13.8696,1.97012,3.0414,23.3199,0.596129,1.6675,18.9304,0.955699,2.0274,0,Inf,Inf,21.4667,0.71833,1.7895,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
19,2,7,14.0622,1.90668,2.9782,23.5404,0.583667,1.6545,9.52393,4.97594,6.0477,0,Inf,Inf,21.7032,0.700779,1.7717,19.0785,0.938841,2.0099,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
20,2,8,13.8489,1.97713,3.0487,23.5374,0.583833,1.6547,9.70536,4.74079,5.8126,0,Inf,Inf,21.5825,0.709659,1.7806,19.1887,0.926589,1.9976,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
21,2,9,3.70543,Inf,Inf,0,Inf,Inf,3.06715,Inf,Inf,3.62312,Inf,Inf,3.25805,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
22,2,10,3.35976,Inf,Inf,4.11323,Inf,Inf,0,Inf,Inf,0,Inf,Inf,4.11178,Inf,Inf,3.36354,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
23,2,11,0,Inf,Inf,3.24711,Inf,Inf,3.64013,Inf,Inf,3.08306,Inf,Inf,0,Inf,Inf,3.71067,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
24,2,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
25,3,1,27.2964,0.419307,1.4914,27.4453,0.414264,1.4851,27.1108,0.425722,1.4969,27.1222,0.425326,1.4993,27.4573,0.413862,1.4849,27.2726,0.420124,1.491,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
26,3,2,27.2964,0.419308,1.4914,27.4453,0.414265,1.4851,27.1108,0.425722,1.4969,27.1222,0.425326,1.4993,27.4573,0.413863,1.4849,27.2726,0.420124,1.491,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
27,3,3,27.3388,0.417863,1.4899,11.4081,3.15976,4.2318,15.961,1.41609,2.4889,24.9945,0.510342,1.5827,22.3633,0.655006,1.7269,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
28,3,4,27.3421,0.41775,1.4898,11.5966,3.03491,4.1074,15.7553,1.45954,2.5325,24.8808,0.515574,1.5879,22.479,0.647441,1.7195,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
29,3,5,11.2402,3.2775,4.354,15.9163,1.42537,2.4965,27.1108,0.425722,1.4969,22.131,0.670598,1.7422,0,Inf,Inf,24.8348,0.517709,1.5887,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
30,3,6,11.3796,3.17928,4.2557,15.755,1.45961,2.5309,27.1108,0.425722,1.4969,22.2168,0.664774,1.7363,0,Inf,Inf,24.7449,0.521927,1.593,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
31,3,7,15.9791,1.41236,2.4838,27.4006,0.41577,1.4866,11.457,3.12665,4.1982,0,Inf,Inf,25.0399,0.508278,1.5792,22.426,0.65089,1.7218,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
32,3,8,15.7705,1.45627,2.5277,27.3972,0.415883,1.4867,11.6393,3.00764,4.0793,0,Inf,Inf,24.9209,0.513717,1.5847,22.5348,0.643837,1.7148,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
