index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
2,1,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
3,1,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
4,1,4,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
5,1,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
6,1,6,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
7,1,7,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
8,1,8,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
9,1,9,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
10,1,10,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
11,1,11,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
12,2,1,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
13,2,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
14,2,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
15,2,4,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
16,2,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
17,2,6,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
18,2,7,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
19,2,8,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
20,2,9,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
21,2,10,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
22,2,11,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
23,3,1,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
24,3,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
25,3,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
26,3,4,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
27,3,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
28,3,6,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
29,3,7,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
30,3,8,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
31,3,9,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
32,3,10,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
33,3,11,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
34,4,1,15.9769,Inf,15.9769,Inf,15.9769,Inf,16.0016,3.69343,15.9369,Inf,16.0016,3.69343,15.9369,Inf
35,4,2,15.9769,Inf,15.9769,Inf,15.9769,Inf,16.0016,3.69343,15.9369,Inf,16.0016,3.69343,15.9369,Inf
36,4,3,15.9769,Inf,15.9769,Inf,15.9769,Inf,16.0016,3.69343,15.9369,Inf,16.0016,3.69343,15.9369,Inf
37,4,4,15.9769,Inf,15.9769,Inf,15.9769,Inf,16.0016,3.69343,15.9369,Inf,16.0016,3.69343,15.9369,Inf
38,4,5,15.9769,Inf,15.9769,Inf,15.9769,Inf,16.0016,3.69343,15.9369,Inf,16.0016,3.69343,15.9369,Inf
39,4,6,15.9769,Inf,15.9769,Inf,15.9769,Inf,16.0016,3.69343,15.9369,Inf,16.0016,3.69343,15.9369,Inf
40,4,7,15.9769,Inf,15.9769,Inf,15.9769,Inf,16.0016,3.69343,15.9369,Inf,16.0016,3.69343,15.9369,Inf
41,4,8,15.9769,Inf,15.9769,Inf,15.9769,Inf,16.0016,3.69343,15.9369,Inf,16.0016,3.69343,15.9369,Inf
42,4,9,15.9769,Inf,15.9769,Inf,15.9769,Inf,16.0016,3.69343,15.9369,Inf,16.0016,3.69343,15.9369,Inf
43,4,10,15.9769,Inf,15.9769,Inf,15.9769,Inf,16.0016,3.69343,15.9369,Inf,16.0016,3.69343,15.9369,Inf
44,4,11,15.9769,Inf,15.9769,Inf,15.9769,Inf,16.0016,3.69343,15.9369,Inf,16.0016,3.69343,15.9369,Inf
45,5,1,20.8032,2.12198,20.8032,2.12198,20.8032,2.12198,20.8373,2.11477,20.7518,Inf,20.8373,2.11477,20.7518,Inf
46,5,2,20.8032,2.12198,20.8032,2.12198,20.8032,2.12198,20.8373,2.11477,20.7518,Inf,20.8373,2.11477,20.7518,Inf
47,5,3,20.8032,2.12198,20.8032,2.12198,20.8032,2.12198,20.8373,2.11477,20.7518,Inf,20.8373,2.11477,20.7518,Inf
48,5,4,20.8032,2.12198,20.8032,2.12198,20.8032,2.12198,20.8373,2.11477,20.7518,Inf,20.8373,2.11477,20.7518,Inf
49,5,5,20.8032,2.12198,20.8032,2.12198,20.8032,2.12198,20.8373,2.11477,20.7518,Inf,20.8373,2.11477,20.7518,Inf
50,5,6,20.8032,2.12198,20.8032,2.12198,20.8032,2.12198,20.8373,2.11477,20.7518,Inf,20.8373,2.11477,20.7518,Inf
51,5,7,20.8032,2.12198,20.8032,2.12198,20.8032,2.12198,20.8373,2.11477,20.7518,Inf,20.8373,2.11477,20.7518,Inf
52,5,8,20.8032,2.12198,20.8032,2.12198,20.8032,2.12198,20.8373,2.11477,20.7518,Inf,20.8373,2.11477,20.7518,Inf
53,5,9,20.8032,2.12198,20.8032,2.12198,20.8032,2.12198,20.8373,2.11477,20.7518,Inf,20.8373,2.11477,20.7518,Inf
54,5,10,20.8032,2.12198,20.8032,2.12198,20.8032,2.12198,20.8373,2.11477,20.7518,Inf,20.8373,2.11477,20.7518,Inf
55,5,11,20.8032,2.12198,20.8032,2.12198,20.8032,2.12198,20.8373,2.11477,20.7518,Inf,20.8373,2.11477,20.7518,Inf
56,6,1,21.7133,1.94107,21.7133,1.94107,21.7133,1.94107,21.7494,1.93438,21.6599,Inf,21.7494,1.93438,21.6599,Inf
57,6,2,21.7133,1.94107,21.7133,1.94107,21.7133,1.94107,21.7494,1.93438,21.6599,Inf,21.7494,1.93438,21.6599,Inf
58,6,3,21.7133,1.94107,21.7133,1.94107,21.7133,1.94107,21.7494,1.93438,21.6599,Inf,21.7494,1.93438,21.6599,Inf
59,6,4,21.7133,1.94107,21.7133,1.94107,21.7133,1.94107,21.7494,1.93438,21.6599,Inf,21.7494,1.93438,21.6599,Inf
60,6,5,21.7133,1.94107,21.7133,1.94107,21.7133,1.94107,21.7494,1.93438,21.6599,Inf,21.7494,1.93438,21.6599,Inf
61,6,6,21.7133,1.94107,21.7133,1.94107,21.7133,1.94107,21.7494,1.93438,21.6599,Inf,21.7494,1.93438,21.6599,Inf
62,6,7,21.7133,1.94107,21.7133,1.94107,21.7133,1.94107,21.7494,1.93438,21.6599,Inf,21.7494,1.93438,21.6599,Inf
63,6,8,21.7133,1.94107,21.7133,1.94107,21.7133,1.94107,21.7494,1.93438,21.6599,Inf,21.7494,1.93438,21.6599,Inf
64,6,9,21.7133,1.94107,21.7133,1.94107,21.7133,1.94107,21.7494,1.93438,21.6599,Inf,21.7494,1.93438,21.6599,Inf
65,6,10,21.7133,1.94107,21.7133,1.94107,21.7133,1.94107,21.7494,1.93438,21.6599,Inf,21.7494,1.93438,21.6599,Inf
66,6,11,21.7133,1.94107,21.7133,1.94107,21.7133,1.94107,21.7494,1.93438,21.6599,Inf,21.7494,1.93438,21.6599,Inf
67,7,1,31.5211,Inf,31.5211,Inf,31.5211,Inf,31.5794,Inf,31.4472,Inf,31.5794,Inf,31.4472,Inf
68,7,2,31.5211,Inf,31.5211,Inf,31.5211,Inf,31.5794,Inf,31.4472,Inf,31.5794,Inf,31.4472,Inf
69,7,3,31.5211,Inf,31.5211,Inf,31.5211,Inf,31.5794,Inf,31.4472,Inf,31.5794,Inf,31.4472,Inf
70,7,4,31.5211,Inf,31.5211,Inf,31.5211,Inf,31.5794,Inf,31.4472,Inf,31.5794,Inf,31.4472,Inf
71,7,5,31.5211,Inf,31.5211,Inf,31.5211,Inf,31.5794,Inf,31.4472,Inf,31.5794,Inf,31.4472,Inf
72,7,6,31.5211,Inf,31.5211,Inf,31.5211,Inf,31.5794,Inf,31.4472,Inf,31.5794,Inf,31.4472,Inf
73,7,7,31.5211,Inf,31.5211,Inf,31.5211,Inf,31.5794,Inf,31.4472,Inf,31.5794,Inf,31.4472,Inf
74,7,8,31.5211,Inf,31.5211,Inf,31.5211,Inf,31.5794,Inf,31.4472,Inf,31.5794,Inf,31.4472,Inf
75,7,9,31.5211,Inf,31.5211,Inf,31.5211,Inf,31.5794,Inf,31.4472,Inf,31.5794,Inf,31.4472,Inf
76,7,10,31.5211,Inf,31.5211,Inf,31.5211,Inf,31.5794,Inf,31.4472,Inf,31.5794,Inf,31.4472,Inf
77,7,11,31.5211,Inf,31.5211,Inf,31.5211,Inf,31.5794,Inf,31.4472,Inf,31.5794,Inf,31.4472,Inf
78,8,1,38.9379,0.554836,38.9379,0.554836,38.9379,0.554836,39.0146,0.552065,38.8515,0.557984,39.0146,0.552065,38.8515,0.557984
79,8,2,38.9379,0.554836,38.9379,0.554836,38.9379,0.554836,39.0146,0.552065,38.8515,0.557984,39.0146,0.552065,38.8515,0.557984
80,8,3,38.9379,0.554836,38.9379,0.554836,38.9379,0.554836,39.0146,0.552065,38.8515,0.557984,39.0146,0.552065,38.8515,0.557984
81,8,4,38.9379,0.554836,38.9379,0.554836,38.9379,0.554836,39.0146,0.552065,38.8515,0.557984,39.0146,0.552065,38.8515,0.557984
82,8,5,38.9379,0.554836,38.9379,0.554836,38.9379,0.554836,39.0146,0.552065,38.8515,0.557984,39.0146,0.552065,38.8515,0.557984
83,8,6,38.9379,0.554836,38.9379,0.554836,38.9379,0.554836,39.0146,0.552065,38.8515,0.557984,39.0146,0.552065,38.8515,0.557984
84,8,7,38.9379,0.554836,38.9379,0.554836,38.9379,0.554836,39.0146,0.552065,38.8515,0.557984,39.0146,0.552065,38.8515,0.557984
85,8,8,38.9379,0.554836,38.9379,0.554836,38.9379,0.554836,39.0146,0.552065,38.8515,0.557984,39.0146,0.552065,38.8515,0.557984
