index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,14.7383,Inf,14.7383,Inf,14.7383,Inf,14.6667,1.72619,14.8095,Inf,0,Inf,0,Inf
2,1,2,0,Inf,0,Inf,0,Inf,13.3799,Inf,0,Inf,0,Inf,0,Inf
3,1,3,0,Inf,0,Inf,0,Inf,0,Inf,13.3755,Inf,0,Inf,0,Inf
4,1,4,14.7383,1.70649,14.7383,1.70649,14.7383,1.70649,13.3271,Inf,13.4116,Inf,0,Inf,0,Inf
5,1,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
6,2,1,23.1415,Inf,23.1415,Inf,23.1415,Inf,23.0009,Inf,23.3628,0.593677,0,Inf,0,Inf
7,2,2,14.3716,Inf,14.3716,Inf,14.3716,Inf,20.7861,Inf,0,Inf,0,Inf,0,Inf
8,2,3,13.9112,Inf,13.9112,Inf,13.9112,Inf,0,Inf,20.5518,Inf,0,Inf,0,Inf
9,2,4,23.1416,0.606498,23.1416,0.606498,23.1416,0.606498,20.3598,Inf,20.808,Inf,0,Inf,0,Inf
10,2,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
11,3,1,26.8923,Inf,26.8923,Inf,26.8923,Inf,26.6963,0.440581,27.2065,0.422396,0,Inf,0,Inf
12,3,2,16.4035,Inf,16.4035,Inf,16.4035,Inf,24.1384,0.551743,0,Inf,0,Inf,0,Inf
13,3,3,15.6296,Inf,15.6296,Inf,15.6296,Inf,0,Inf,23.7735,0.570905,0,Inf,0,Inf
14,3,4,26.8923,Inf,26.8923,Inf,26.8923,Inf,23.4898,Inf,24.1665,0.550308,0,Inf,0,Inf
15,3,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
16,4,1,15.9774,3.70545,15.9774,3.70545,15.9774,3.70545,16.0021,3.69315,15.9374,Inf,16.0008,Inf,15.9361,Inf
17,4,2,15.9776,3.70536,15.9776,3.70536,15.9776,3.70536,16.0024,3.69301,15.9372,Inf,16.0005,Inf,15.9364,Inf
18,4,3,15.9769,3.7057,15.9769,3.7057,15.9769,3.7057,16.0019,3.69326,15.937,Inf,16.0011,3.69366,15.9365,Inf
19,4,4,15.9774,3.70545,15.9774,3.70545,15.9774,3.70545,16.0017,3.69336,15.9377,Inf,16.0012,Inf,15.9359,Inf
20,4,5,15.9771,Inf,15.9771,Inf,15.9771,Inf,16.0018,3.69329,15.9372,Inf,16.0012,3.69362,15.9365,Inf
21,5,1,20.8036,2.12191,20.8036,2.12191,20.8036,2.12191,20.8376,2.11469,20.7522,2.13287,20.8365,Inf,20.751,Inf
22,5,2,20.8037,2.12188,20.8037,2.12188,20.8037,2.12188,20.8379,2.11464,20.752,Inf,20.8362,Inf,20.7513,Inf
