index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
2,1,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
3,1,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
4,1,4,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
5,1,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
6,1,6,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
7,1,7,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
8,1,8,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
9,1,9,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
10,1,10,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
11,1,11,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
12,2,1,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
13,2,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
14,2,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
15,2,4,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
16,2,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
17,2,6,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
18,2,7,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
19,2,8,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
20,2,9,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
21,2,10,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
22,2,11,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
23,3,1,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
24,3,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
25,3,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
26,3,4,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
27,3,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
28,3,6,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
29,3,7,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
30,3,8,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
31,3,9,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
32,3,10,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
33,3,11,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
34,4,1,15.931,3.72872,15.931,3.72872,15.931,3.72872,15.9678,3.71024,15.9249,3.7318
35,4,2,15.931,3.72872,15.931,3.72872,15.931,3.72872,15.9678,3.71024,15.9249,3.7318
36,4,3,15.931,3.72872,15.931,3.72872,15.931,3.72872,15.9678,3.71024,15.9249,3.7318
37,4,4,15.931,3.72872,15.931,3.72872,15.931,3.72872,15.9678,3.71024,15.9249,3.7318
38,4,5,15.931,3.72872,15.931,3.72872,15.931,3.72872,15.9678,3.71024,15.9249,3.7318
39,4,6,15.931,3.72872,15.931,3.72872,15.931,3.72872,15.9678,3.71024,15.9249,3.7318
40,4,7,15.931,3.72872,15.931,3.72872,15.931,3.72872,15.9678,3.71024,15.9249,3.7318
41,4,8,15.931,3.72872,15.931,3.72872,15.931,3.72872,15.9678,3.71024,15.9249,3.7318
42,4,9,15.931,3.72872,15.931,3.72872,15.931,3.72872,15.9678,3.71024,15.9249,3.7318
43,4,10,15.931,3.72872,15.931,3.72872,15.931,3.72872,15.9678,3.71024,15.9249,3.7318
44,4,11,15.931,3.72872,15.931,3.72872,15.931,3.72872,15.9678,3.71024,15.9249,3.7318
45,5,1,20.7446,2.1345,20.7446,2.1345,20.7446,2.1345,20.7909,2.1246,20.7398,2.13554
46,5,2,20.7446,2.1345,20.7446,2.1345,20.7446,2.1345,20.7909,2.1246,20.7398,2.13554
47,5,3,20.7446,2.1345,20.7446,2.1345,20.7446,2.1345,20.7909,2.1246,20.7398,2.13554
48,5,4,20.7446,2.1345,20.7446,2.1345,20.7446,2.1345,20.7909,2.1246,20.7398,2.13554
49,5,5,20.7446,2.1345,20.7446,2.1345,20.7446,2.1345,20.7909,2.1246,20.7398,2.13554
50,5,6,20.7446,2.1345,20.7446,2.1345,20.7446,2.1345,20.7909,2.1246,20.7398,2.13554
