index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor
40,4,4,15.636,3.88212,15.7227,3.83603,15.6523,3.87335,15.6178,3.89185,15.6883,3.85417,15.7047,3.84553,16.5492,3.43625,16.7044,3.3684,16.5701,3.42697
41,4,5,15.6361,3.88204,15.722,3.83638,15.6528,3.87308,15.6185,3.89149,15.6878,3.85444,15.7045,3.84561,16.5486,3.43653,16.7049,3.36817,16.5702,3.42694
42,4,6,15.6361,3.88203,15.722,3.8364,15.6528,3.87308,15.6185,3.89148,15.6878,3.85445,15.7045,3.84563,16.5485,3.43654,16.7049,3.36816,16.5702,3.42693
43,4,7,15.6355,3.88235,15.7225,3.8361,15.653,3.87302,15.618,3.89176,15.6878,3.85448,15.7051,3.84528,16.5491,3.4363,16.7049,3.36817,16.5696,3.4272
44,4,8,15.6354,3.88239,15.7225,3.83611,15.653,3.873,15.618,3.89177,15.6877,3.85452,15.7052,3.84526,16.5491,3.43629,16.705,3.36814,16.5696,3.42721
45,4,9,15.6361,3.88205,15.7222,3.8363,15.6524,3.87331,15.6182,3.89168,15.6881,3.85432,15.7043,3.8457,16.5489,3.43637,16.7047,3.36825,16.5705,3.42683
46,4,10,15.6355,3.88236,15.7227,3.83602,15.6525,3.87325,15.6177,3.89194,15.688,3.85436,15.705,3.84538,16.5494,3.43614,16.7047,3.36825,16.5699,3.42709
47,4,11,15.6357,3.88227,15.722,3.83637,15.653,3.87302,15.6183,3.89161,15.6875,3.85461,15.7047,3.84549,16.5489,3.4364,16.7052,3.36803,16.57,3.42703
48,4,12,15.6356,3.88228,15.7222,3.83629,15.6525,3.87325,15.6179,3.8918,15.6878,3.85449,15.7046,3.84558,16.5492,3.43624,16.705,3.36812,16.5703,3.42692
49,5,1,20.6559,2.15366,20.7763,2.12772,20.6134,2.16291,20.5872,2.16866,20.7502,2.13329,20.708,2.14236,21.4157,1.99758,21.6512,1.95265,21.474,1.98632
50,5,2,20.6559,2.15366,20.7763,2.12772,20.6134,2.16291,20.5872,2.16866,20.7502,2.13329,20.708,2.14237,21.4157,1.99758,21.6512,1.95265,21.474,1.98632
51,5,3,20.6558,2.15366,20.7764,2.1277,20.6131,2.16298,20.5869,2.16872,20.7504,2.13325,20.7079,2.14239,21.4161,1.99751,21.6511,1.95269,21.4742,1.98628
52,5,4,20.6559,2.15366,20.7764,2.12769,20.6131,2.16299,20.5869,2.16872,20.7504,2.13325,20.7079,2.1424,21.4161,1.9975,21.651,1.95269,21.4743,1.98626
53,5,5,20.656,2.15363,20.7759,2.1278,20.6134,2.16291,20.5874,2.16862,20.7501,2.13333,20.7077,2.14243,21.4155,1.99762,21.6515,1.95259,21.4743,1.98625
54,5,6,20.656,2.15363,20.7759,2.12781,20.6134,2.16291,20.5874,2.16861,20.7501,2.13333,20.7077,2.14243,21.4155,1.99763,21.6516,1.95259,21.4744,1.98625
55,5,7,20.6555,2.15373,20.7763,2.12772,20.6135,2.16289,20.5871,2.16869,20.75,2.13334,20.7082,2.14233,21.416,1.99752,21.6515,1.9526,21.4738,1.98636
56,5,8,20.6555,2.15374,20.7763,2.12772,20.6136,2.16288,20.5871,2.16869,20.7499,2.13335,20.7082,2.14232,21.416,1.99752,21.6516,1.95258,21.4737,1.98637
57,5,9,20.656,2.15364,20.776,2.12777,20.6131,2.16298,20.5872,2.16867,20.7503,2.13329,20.7076,2.14245,21.4158,1.99755,21.6514,1.95263,21.4746,1.9862
58,5,10,20.6555,2.15373,20.7764,2.12769,20.6132,2.16295,20.5868,2.16875,20.7502,2.1333,20.7081,2.14235,21.4163,1.99746,21.6514,1.95263,21.474,1.98631
59,5,11,20.6557,2.1537,20.7759,2.1278,20.6135,2.16289,20.5873,2.16865,20.7498,2.13337,20.7079,2.14239,21.4158,1.99757,21.6518,1.95254,21.4741,1.98629
60,5,12,20.6557,2.1537,20.7761,2.12777,20.6132,2.16295,20.587,2.1687,20.75,2.13334,20.7078,2.14241,21.4161,1.9975,21.6517,1.95257,21.4744,1.98624
