index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor
1,1,1,14.7725,1.69721,60,14.9146,1.65942,60,14.6918,1.71924,60,14.7258,1.70989,60,14.8716,1.67072,60,0,Inf,60,0,Inf,60
2,1,2,6.19442,16.2176,60,8.72445,6.25131,60,14.7647,1.69933,60,12.1131,2.7282,60,0,Inf,60,0,Inf,60,0,Inf,60
3,1,3,8.70597,6.28634,60,14.842,1.67857,60,6.20734,16.1181,60,0,Inf,60,13.5859,2.06946,60,0,Inf,60,0,Inf,60
4,1,4,14.7725,1.69721,60,6.19324,16.2267,60,8.6898,6.31723,60,13.5417,2.08561,60,12.0803,2.74629,60,0,Inf,60,0,Inf,60
5,1,5,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60
6,2,1,23.113,0.608183,60,23.445,0.589012,60,22.9919,0.615404,60,22.9593,0.617372,60,23.3493,0.594446,60,0,Inf,60,0,Inf,60
7,2,2,10.3823,3.99521,60,12.8822,2.35061,60,23.169,0.604885,60,19.3179,0.912526,60,0,Inf,60,0,Inf,60,0,Inf,60
8,2,3,12.9233,2.33266,60,23.269,0.599064,60,10.4083,3.97012,60,0,Inf,60,20.8882,0.764105,60,0,Inf,60,0,Inf,60
9,2,4,23.113,0.608183,60,10.3345,4.04192,60,12.8572,2.36159,60,20.7474,0.775897,60,19.2972,0.914753,60,0,Inf,60,0,Inf,60
10,2,5,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60
11,3,1,26.8306,0.435684,60,27.3314,0.418115,60,26.7373,0.439079,60,26.6809,0.441148,60,27.1974,0.422713,60,0,Inf,60,0,Inf,60
12,3,2,12.2892,2.63416,60,14.7776,1.69582,60,26.975,0.430508,60,22.6286,0.637845,60,0,Inf,60,0,Inf,60,0,Inf,60
13,3,3,14.8241,1.68334,60,27.0952,0.426268,60,12.3263,2.61495,60,0,Inf,60,24.1907,0.549077,60,0,Inf,60,0,Inf,60
14,3,4,26.8306,0.435684,60,12.2234,2.6687,60,14.7304,1.70864,60,24.0036,0.558711,60,22.5232,0.644582,60,0,Inf,60,0,Inf,60
15,3,5,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60
16,4,1,32.0732,0.863246,60,32.7226,0.827799,60,31.8929,0.873477,60,31.8513,0.87586,60,32.5236,0.838433,60,0,Inf,60,0,Inf,60
17,4,2,13.9259,5.00139,60,18.6504,2.66706,60,32.2227,0.85489,60,26.6842,1.26579,60,0,Inf,60,0,Inf,60,0,Inf,60
18,4,3,18.5668,2.69241,60,32.3961,0.845347,60,13.9905,4.95037,60,0,Inf,60,29.4026,1.03482,60,0,Inf,60,0,Inf,60
19,4,4,32.0731,0.863247,60,13.8754,5.04186,60,18.442,2.73091,60,29.1184,1.05594,60,26.4749,1.28663,60,0,Inf,60,0,Inf,60
20,4,5,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60
21,5,1,36.7695,0.647869,60,37.6377,0.616689,60,36.6543,0.652173,60,36.439,0.660334,60,37.3599,0.626429,60,0,Inf,60,0,Inf,60
22,5,2,15.5271,3.94118,60,22.0127,1.88659,60,37.0767,0.636583,60,30.1879,0.979564,60,0,Inf,60,0,Inf,60,0,Inf,60
23,5,3,21.9958,1.88961,60,37.2194,0.631438,60,15.6509,3.87411,60,0,Inf,60,34.1187,0.75839,60,0,Inf,60,0,Inf,60
24,5,4,36.7694,0.647873,60,15.4623,3.97703,60,21.7967,1.92565,60,33.7281,0.776937,60,29.9957,0.992683,60,0,Inf,60,0,Inf,60
25,5,5,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60
26,6,1,39.5822,0.554227,60,40.6692,0.523192,60,39.5403,0.555475,60,39.2795,0.56334,60,40.2782,0.534062,60,0,Inf,60,0,Inf,60
27,6,2,17.0048,3.24276,60,23.4705,1.65153,60,40.0281,0.541186,60,32.7458,0.826569,60,0,Inf,60,0,Inf,60,0,Inf,60
28,6,3,23.4517,1.65427,60,40.186,0.536673,60,17.1384,3.18923,60,0,Inf,60,36.6748,0.651406,60,0,Inf,60,0,Inf,60
29,6,4,39.5823,0.554225,60,16.9085,3.28226,60,23.2117,1.68993,60,36.21,0.669173,60,32.4971,0.839861,60,0,Inf,60,0,Inf,60
30,6,5,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60
31,7,1,51.4947,0.296321,60,53.3689,0.272277,60,51.5629,0.295393,60,51.0421,0.302592,60,52.6675,0.280929,60,0,Inf,60,0,Inf,60
32,7,2,21.9725,2.43471,60,31.4335,0.980754,60,52.3379,0.285134,60,42.5575,0.467443,60,0,Inf,60,0,Inf,60,0,Inf,60
33,7,3,31.3155,0.989955,60,52.5989,0.281797,60,22.2598,2.35379,60,0,Inf,60,48.2965,0.345128,60,0,Inf,60,0,Inf,60
34,7,4,51.4947,0.296321,60,21.8362,2.47451,60,30.8533,1.02724,60,47.41,0.36073,60,42.0666,0.480713,60,0,Inf,60,0,Inf,60
35,7,5,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60
36,8,1,60.3741,0.194289,60,62.8533,0.177422,60,60.4884,0.193458,60,59.7915,0.19861,60,61.9498,0.183299,60,0,Inf,60,0,Inf,60
37,8,2,25.8974,1.70198,60,37.4958,0.611124,60,61.4965,0.18636,60,50.2602,0.296933,60,0,Inf,60,0,Inf,60,0,Inf,60
38,8,3,37.0421,0.630638,60,61.8528,0.183948,60,26.3395,1.61829,60,0,Inf,60,56.8824,0.222566,60,0,Inf,60,0,Inf,60
39,8,4,60.3743,0.194287,60,25.7388,1.73357,60,36.3875,0.660506,60,55.6203,0.234362,60,49.3098,0.310674,60,0,Inf,60,0,Inf,60
40,8,5,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60
41,9,1,63.9273,0.170805,60,66.7365,0.155187,60,64.1385,0.169549,60,63.3125,0.174546,60,65.6897,0.16074,60,0,Inf,60,0,Inf,60
