index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,Tempo_Abertura_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor,Tempo_Abertura_C_Consumidor
25,3,1,27.2964,0.419307,1.0721,27.4453,0.414264,1.0709,27.1108,0.425722,1.0712,27.1222,0.425326,1.074,27.4573,0.413862,1.0711,27.2726,0.420124,1.0709,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
26,3,2,27.2964,0.419308,1.0721,27.4453,0.414265,1.0709,27.1108,0.425722,1.0712,27.1222,0.425326,1.074,27.4573,0.413863,1.0711,27.2726,0.420124,1.0709,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
27,3,3,27.3388,0.417863,1.0721,11.4081,3.15976,1.0721,15.961,1.41609,1.0729,24.9945,0.510342,1.0724,22.3633,0.655006,1.0719,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
28,3,4,27.3421,0.41775,1.0721,11.5966,3.03491,1.0725,15.7553,1.45954,1.073,24.8808,0.515574,1.0724,22.479,0.647441,1.0721,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
29,3,5,11.2402,3.2775,1.0766,15.9163,1.42537,1.0712,27.1108,0.425722,1.0712,22.131,0.670598,1.0717,0,Inf,Inf,24.8348,0.517709,1.071,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
30,3,6,11.3796,3.17928,1.0765,15.755,1.45961,1.0713,27.1108,0.425722,1.0712,22.2168,0.664774,1.0716,0,Inf,Inf,24.7449,0.521927,1.0711,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
31,3,7,15.9791,1.41236,1.0715,27.4006,0.41577,1.0709,11.457,3.12665,1.0716,0,Inf,Inf,25.0399,0.508278,1.071,22.426,0.65089,1.071,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
32,3,8,15.7705,1.45627,1.0715,27.3972,0.415883,1.0709,11.6393,3.00764,1.0717,0,Inf,Inf,24.9209,0.513717,1.071,22.5348,0.643837,1.071,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
33,3,9,3.66375,Inf,1.0745,0,Inf,Inf,3.0242,Inf,1.0745,3.57443,Inf,1.0741,3.2311,Inf,1.0809,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
34,3,10,3.30031,Inf,1.0724,4.06109,Inf,1.0719,0,Inf,Inf,0,Inf,Inf,4.04692,Inf,1.0718,3.33514,Inf,1.0778,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
35,3,11,0,Inf,Inf,3.20106,Inf,1.0715,3.60186,Inf,1.0739,3.06022,Inf,1.0825,0,Inf,Inf,3.66248,Inf,1.0718,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
36,3,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
