index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,Tempo_Abertura_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor,Tempo_Abertura_C_Consumidor
1,1,1,7.32147,10.0455,11.1194,7.36122,9.89546,10.9675,7.37974,9.82665,10.8995,7.35032,9.93624,11.012,7.33204,10.0053,11.0777,7.38457,9.80885,10.881,8.23881,7.27859,8.3546,8.31696,7.09705,8.1698,8.22624,7.30841,8.3802
2,1,2,7.32147,10.0455,11.1194,7.36122,9.89546,10.9675,7.37974,9.82665,10.8995,7.35032,9.93624,11.012,7.33204,10.0053,11.0777,7.38457,9.80885,10.881,8.23881,7.27859,8.3546,8.31696,7.09705,8.1698,8.22624,7.30841,8.3802
3,1,3,6.1014,16.9611,18.0359,3.44285,Inf,Inf,7.03633,11.2277,12.3047,7.33593,9.99052,11.0663,4.03134,Inf,Inf,5.33693,25.518,26.5909,8.25456,7.24145,8.3176,5.51579,23.0286,24.1029,6.02267,17.63,18.7038
4,1,4,5.06234,30.1704,31.2469,0,Inf,Inf,7.64169,8.92517,10.0007,7.32276,10.0406,11.1163,3.25823,Inf,Inf,5.9292,18.4756,19.5512,8.26735,7.21149,8.2875,2.89303,Inf,Inf,5.58617,22.1454,23.2229
5,1,5,3.36653,Inf,Inf,7.01777,11.3117,12.3837,6.20515,16.1349,17.2077,4.1003,Inf,Inf,5.24813,26.9015,27.9739,7.39802,9.75948,10.8316,5.43113,24.1607,25.2384,6.08543,17.0937,18.1669,8.21365,7.33849,8.4102
6,1,6,0,Inf,Inf,7.66062,8.86481,9.9368,5.19415,27.7962,28.869,2.94705,Inf,Inf,5.87489,18.9945,20.0668,7.41138,9.7108,10.7829,0,Inf,Inf,5.58019,22.2185,23.2924,8.20224,7.36592,8.4377
7,1,7,6.96598,11.551,12.6242,6.1833,16.3039,17.3762,3.50309,Inf,Inf,5.27159,26.5256,27.6009,7.33204,10.0053,11.0777,4.18191,57.1865,58.2594,6.06282,17.2841,18.36,8.31696,7.09705,8.1698,5.45516,23.8313,24.9042
8,1,8,7.54171,9.25418,10.3269,5.16633,28.2742,29.3467,0,Inf,Inf,5.73852,20.395,21.4686,7.33204,10.0053,11.0777,1.65736,Inf,Inf,5.60874,21.8726,22.9474,8.31696,7.09705,8.1698,2.90589,Inf,Inf
9,1,9,0,Inf,Inf,5.18734,27.9121,28.985,5.79572,19.7898,20.8678,3.72967,Inf,Inf,0,Inf,Inf,6.33213,15.2018,16.2746,5.09022,29.6445,30.7229,0,Inf,Inf,6.68263,13.0027,14.0768
10,1,10,5.67781,21.0675,22.1417,2.9841,Inf,Inf,5.03308,30.7371,31.8122,6.17999,16.3297,17.4042,3.66359,Inf,Inf,0,Inf,Inf,6.75137,12.6268,13.7019,5.18877,27.8876,28.9623,0,Inf,Inf
11,1,11,4.96909,32.0315,33.1046,5.78057,19.9475,21.0197,0,Inf,Inf,0,Inf,Inf,6.20146,16.1632,17.2356,3.82164,Inf,Inf,0,Inf,Inf,6.72533,12.7672,13.8402,5.12905,28.9336,30.0064
12,1,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
13,2,1,8.90312,5.92714,7.0006,8.96026,5.82874,6.9006,8.9882,5.78152,6.8541,8.94517,5.85449,6.93,8.91525,5.90604,6.9783,8.99571,5.76891,6.8409,10.0308,4.35864,5.4343,10.1166,4.26549,5.3381,10.024,4.36611,5.438
14,2,2,8.90312,5.92714,7.0006,8.96026,5.82874,6.9006,8.9882,5.78152,6.8541,8.94517,5.85449,6.93,8.91525,5.90604,6.9783,8.99571,5.76891,6.8409,10.0308,4.35864,5.4343,10.1166,4.26549,5.3381,10.024,4.36611,5.438
15,2,3,7.40717,9.72608,10.8006,3.7395,Inf,Inf,8.47843,6.74267,7.8191,8.93603,5.87017,6.9456,4.68549,38.8281,39.9017,6.24092,15.8637,16.9364,10.0393,4.34925,5.4249,6.31823,15.3,16.3742,6.99102,11.4344,12.5079
16,2,4,6.48587,14.1747,15.2507,0,Inf,Inf,8.99447,5.77098,6.8462,8.92675,5.88616,6.9616,2.37742,Inf,Inf,6.67121,13.0668,14.1425,10.0458,4.34214,5.4178,3.72842,Inf,Inf,6.46195,14.3276,15.4047
17,2,5,3.64084,Inf,Inf,8.45083,6.80136,7.8732,7.53905,9.26318,10.3357,4.78703,36.1748,37.2527,6.12356,16.7795,17.8517,9.00466,5.75395,6.8259,6.24203,15.8554,16.9329,7.04658,11.1817,12.2547,10.015,4.37611,5.448
18,2,6,0,Inf,Inf,8.99871,5.76389,6.8357,6.63393,13.2791,14.3515,2.84569,Inf,Inf,6.59214,13.5232,14.5954,9.01417,5.73811,6.8101,3.68771,Inf,Inf,6.45726,14.3579,15.4314,10.0083,4.38347,5.4553
19,2,7,8.38426,6.94605,8.0189,7.49405,9.4174,10.4895,3.80955,Inf,Inf,6.15174,16.5526,17.6272,8.91525,5.90604,6.9783,4.86529,34.3043,35.3768,7.03544,11.2318,12.307,10.1166,4.26549,5.3381,6.27943,15.5792,16.652
20,2,8,8.88253,5.9632,7.0357,6.56811,13.6666,14.7389,0,Inf,Inf,6.47974,14.2136,15.2869,8.91525,5.90604,6.9783,2.49644,Inf,Inf,6.49327,14.1278,15.2021,10.1166,4.26549,5.3381,3.75665,Inf,Inf
21,2,9,0,Inf,Inf,5.58413,22.1703,23.2431,6.73839,12.6965,13.774,4.5924,41.5136,42.5925,0,Inf,Inf,7.10343,10.9317,12.0044,6.03708,17.5047,18.5827,0,Inf,Inf,7.62916,8.96544,10.0391
22,2,10,6.59382,13.5132,14.5871,1.23447,Inf,Inf,5.44862,23.9203,24.9952,6.94756,11.6379,12.7121,4.48393,44.9915,46.0655,0,Inf,Inf,7.6914,8.76798,9.8428,6.11912,16.8156,17.8901,0,Inf,Inf
23,2,11,5.36633,25.0828,26.1556,6.70103,12.9005,13.9726,0,Inf,Inf,0,Inf,Inf,6.96078,11.5755,12.6476,4.65831,39.586,40.6585,0,Inf,Inf,7.67558,8.81754,9.8903,6.08193,17.123,18.1957
24,2,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
25,3,1,9.411,5.13121,6.2046,9.47276,5.04542,6.1172,9.50542,5.00091,6.0734,9.45688,5.06727,6.1428,9.4243,5.11255,6.1847,9.51284,4.99088,6.0628,10.6057,3.78731,4.8629,10.6926,3.71074,4.7833,10.6019,3.79069,4.8625
26,3,2,9.411,5.13121,6.2046,9.47276,5.04542,6.1172,9.50542,5.00091,6.0734,9.45688,5.06727,6.1428,9.4243,5.11255,6.1847,9.51284,4.99088,6.0628,10.6057,3.78731,4.8629,10.6926,3.71074,4.7833,10.6019,3.79069,4.8625
27,3,3,7.82978,8.35144,9.4259,3.82134,Inf,Inf,8.93876,5.86548,6.9417,9.44972,5.07717,6.1526,4.89839,33.5548,34.6283,6.52348,13.9389,15.0115,10.6134,3.78038,4.8559,6.5735,13.6342,14.7084,7.29199,10.159,11.2323
28,3,4,6.93975,11.6751,12.751,0,Inf,Inf,9.43154,5.10244,6.1777,9.44149,5.08859,6.164,2.64257,Inf,Inf,6.91387,11.7994,12.8752,10.619,3.77546,4.851,4.00659,Inf,Inf,6.74291,12.6722,13.7491
29,3,5,3.71539,Inf,Inf,8.90921,5.91654,6.9883,7.97166,7.95417,9.0266,5.01076,31.1798,32.2577,6.39731,14.7534,15.8255,9.52244,4.97795,6.0499,6.5006,14.0816,15.1591,7.34509,9.95592,11.0289,10.5924,3.7992,4.871
30,3,6,0,Inf,Inf,9.43348,5.09973,6.1715,7.094,10.9726,12.0449,2.82098,Inf,Inf,6.82796,12.2265,13.2987,9.53106,4.96638,6.0383,3.97158,Inf,Inf,6.73904,12.693,13.7663,10.5866,3.8044,4.8763
