index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
2,1,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
3,1,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
4,1,4,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
5,1,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
6,1,6,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
7,1,7,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
8,1,8,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
9,1,9,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
10,1,10,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
11,1,11,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
12,2,1,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
13,2,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
14,2,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
15,2,4,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
16,2,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
17,2,6,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
18,2,7,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
19,2,8,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
20,2,9,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
21,2,10,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
22,2,11,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
23,3,1,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
24,3,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
25,3,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
26,3,4,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
27,3,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
28,3,6,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
29,3,7,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
30,3,8,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
31,3,9,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
32,3,10,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
33,3,11,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
34,4,1,15.977,Inf,15.977,Inf,15.977,Inf,16.0017,3.69333,15.9369,Inf
35,4,2,15.977,Inf,15.977,Inf,15.977,Inf,16.0017,3.69333,15.9369,Inf
36,4,3,15.977,Inf,15.977,Inf,15.977,Inf,16.0017,3.69333,15.9369,Inf
37,4,4,15.977,Inf,15.977,Inf,15.977,Inf,16.0017,3.69333,15.9369,Inf
38,4,5,15.977,Inf,15.977,Inf,15.977,Inf,16.0017,3.69333,15.9369,Inf
39,4,6,15.977,Inf,15.977,Inf,15.977,Inf,16.0017,3.69333,15.9369,Inf
40,4,7,15.977,Inf,15.977,Inf,15.977,Inf,16.0017,3.69333,15.9369,Inf
41,4,8,15.977,Inf,15.977,Inf,15.977,Inf,16.0017,3.69333,15.9369,Inf
42,4,9,15.977,Inf,15.977,Inf,15.977,Inf,16.0017,3.69333,15.9369,Inf
43,4,10,15.977,Inf,15.977,Inf,15.977,Inf,16.0017,3.69333,15.9369,Inf
44,4,11,15.977,Inf,15.977,Inf,15.977,Inf,16.0017,3.69333,15.9369,Inf
45,5,1,20.8034,2.12193,20.8034,2.12193,20.8034,2.12193,20.8376,2.1147,20.7519,Inf
46,5,2,20.8034,2.12193,20.8034,2.12193,20.8034,2.12193,20.8376,2.1147,20.7519,Inf
47,5,3,20.8034,2.12193,20.8034,2.12193,20.8034,2.12193,20.8376,2.1147,20.7519,Inf
48,5,4,20.8034,2.12193,20.8034,2.12193,20.8034,2.12193,20.8376,2.1147,20.7519,Inf
49,5,5,20.8034,2.12193,20.8034,2.12193,20.8034,2.12193,20.8376,2.1147,20.7519,Inf
50,5,6,20.8034,2.12193,20.8034,2.12193,20.8034,2.12193,20.8376,2.1147,20.7519,Inf
51,5,7,20.8034,2.12193,20.8034,2.12193,20.8034,2.12193,20.8376,2.1147,20.7519,Inf
