index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor
1,1,1,7.7253,8.66314,60,7.72028,8.67856,60,7.72612,8.66063,60,7.72704,8.6578,60,7.72702,8.65786,60,7.72704,8.6578,60,7.72702,8.65786,60
2,1,2,7.7253,8.66314,60,7.72028,8.67856,60,7.72612,8.66063,60,7.72704,8.6578,60,7.72702,8.65786,60,7.72704,8.6578,60,7.72702,8.65786,60
3,1,3,6.78094,12.47,60,4.22581,55.1416,60,7.25187,10.3164,60,7.72708,8.65769,60,5.00953,31.2045,60,7.72708,8.65769,60,5.00953,31.2045,60
4,1,4,5.9698,18.1012,60,0,Inf,60,7.44195,9.60075,60,7.7271,8.65762,60,2.68219,Inf,60,7.7271,8.65762,60,2.68219,Inf,60
5,1,5,4.23788,54.5974,60,7.23826,10.3707,60,6.78082,12.4706,60,5.00751,31.245,60,5.62479,21.6816,60,5.00751,31.245,60,5.62479,21.6816,60
6,1,6,0,Inf,60,7.41936,9.68188,60,5.94085,18.367,60,0,Inf,60,5.16928,28.2228,60,0,Inf,60,5.16928,28.2228,60
7,1,7,7.2522,10.3152,60,6.77942,12.478,60,4.23625,54.6702,60,5.63163,21.6008,60,7.72698,8.65798,60,5.63163,21.6008,60,7.72698,8.65798,60
8,1,8,7.4401,9.60735,60,5.96614,18.1344,60,0,Inf,60,5.18889,27.8856,60,7.72696,8.65805,60,5.18889,27.8856,60,7.72696,8.65805,60
9,1,9,0,Inf,60,4.47257,45.3798,60,6.31016,15.3575,60,4.74899,37.1374,60,0,Inf,60,4.74899,37.1374,60,0,Inf,60
10,1,10,6.31128,15.3495,60,2.03776,Inf,60,4.47442,45.3162,60,6.21052,16.0938,60,4.75794,36.9077,60,6.21052,16.0938,60,4.75794,36.9077,60
11,1,11,4.46814,45.5323,60,6.30606,15.3868,60,0,Inf,60,0,Inf,60,6.19589,16.2062,60,0,Inf,60,6.19589,16.2062,60
12,1,12,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60,0,Inf,60
13,2,1,9.5322,4.96486,60,9.52507,4.97442,60,9.53293,4.96387,60,9.53399,4.96246,60,9.53415,4.96224,60,9.53399,4.96246,60,9.53415,4.96224,60
14,2,2,9.5322,4.96486,60,9.52507,4.97442,60,9.53293,4.96387,60,9.53399,4.96246,60,9.53415,4.96224,60,9.53399,4.96246,60,9.53415,4.96224,60
15,2,3,8.30714,7.11949,60,4.71478,38.0349,60,8.86081,6.0016,60,9.53406,4.96236,60,5.89507,18.7992,60,9.53406,4.96236,60,5.89507,18.7992,60
16,2,4,7.50763,9.37045,60,0,Inf,60,9.02762,5.71583,60,9.5341,4.96231,60,3.5205,Inf,60,9.5341,4.96231,60,3.5205,Inf,60
17,2,5,4.72848,37.6717,60,8.84256,6.03417,60,8.26585,7.215,60,5.88811,18.8662,60,6.64978,13.1882,60,5.88811,18.8662,60,6.64978,13.1882,60
18,2,6,0,Inf,60,8.99866,5.76398,60,7.48008,9.46605,60,3.50852,Inf,60,6.10159,16.9595,60,3.50852,Inf,60,6.10159,16.9595,60
19,2,7,8.86159,6.00023,60,8.30564,7.12293,60,4.71937,37.9127,60,6.65324,13.1685,60,9.53408,4.96233,60,6.65324,13.1685,60,9.53408,4.96233,60
20,2,8,9.02719,5.71654,60,7.50796,9.36933,60,0,Inf,60,6.12029,16.806,60,9.53404,4.96239,60,6.12029,16.806,60,9.53404,4.96239,60
21,2,9,2.53557,Inf,60,5.08599,29.7233,60,7.46539,9.51759,60,5.72785,20.5109,60,0,Inf,60,5.72785,20.5109,60,0,Inf,60
22,2,10,7.46474,9.51988,60,2.54086,Inf,60,5.08771,29.6911,60,7.22996,10.404,60,5.72936,20.4944,60,7.22996,10.404,60,5.72936,20.4944,60
