index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,14.7204,1.71139,14.7204,1.71139,14.7204,1.71139,0,Inf,0,Inf
2,1,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
3,1,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
4,1,4,14.7204,1.71139,14.7204,1.71139,14.7204,1.71139,0,Inf,0,Inf
5,1,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
6,2,1,23.1025,0.608803,23.1025,0.608803,23.1025,0.608803,0,Inf,0,Inf
7,2,2,14.4371,1.79161,14.4371,1.79161,14.4371,1.79161,0,Inf,0,Inf
8,2,3,13.2858,2.18287,13.2858,2.18287,13.2858,2.18287,0,Inf,0,Inf
9,2,4,23.1025,0.608803,23.1025,0.608803,23.1025,0.608803,0,Inf,0,Inf
10,2,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
11,3,1,26.9005,1.24478,26.9005,1.24478,26.9005,1.24478,0,Inf,0,Inf
12,3,2,16.4023,3.50246,16.4023,3.50246,16.4023,3.50246,0,Inf,0,Inf
13,3,3,14.8327,4.35327,14.8327,4.35327,14.8327,4.35327,0,Inf,0,Inf
14,3,4,26.9004,1.24478,26.9004,1.24478,26.9004,1.24478,0,Inf,0,Inf
15,3,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
16,4,1,15.9315,3.72846,15.9315,3.72846,15.9315,3.72846,15.967,3.71064,15.9241,3.73221
17,4,2,15.9317,3.72837,15.9317,3.72837,15.9317,3.72837,15.9668,3.71076,15.9244,3.73204
18,4,3,15.931,3.72871,15.931,3.72871,15.931,3.72871,15.9673,3.71048,15.9245,3.73201
19,4,4,15.9315,3.72846,15.9315,3.72846,15.9315,3.72846,15.9674,3.71044,15.9239,3.73233
20,4,5,15.9313,3.72859,15.9313,3.72859,15.9313,3.72859,15.9674,3.71044,15.9245,3.73201
21,5,1,20.7449,2.13443,20.7449,2.13443,20.7449,2.13443,20.7901,2.12477,20.739,2.13571
22,5,2,20.7451,2.13439,20.7451,2.13439,20.7451,2.13439,20.7899,2.12482,20.7393,2.13564
23,5,3,20.7446,2.1345,20.7446,2.1345,20.7446,2.1345,20.7904,2.1247,20.7394,2.13562
24,5,4,20.7449,2.13443,20.7449,2.13443,20.7449,2.13443,20.7905,2.12469,20.7387,2.13576
25,5,5,20.7448,2.13446,20.7448,2.13446,20.7448,2.13446,20.7905,2.12469,20.7394,2.13562
26,6,1,21.6528,1.95236,21.6528,1.95236,21.6528,1.95236,21.6995,1.94363,21.6475,1.95335
27,6,2,21.653,1.95232,21.653,1.95232,21.653,1.95232,21.6993,1.94367,21.6478,1.95329
28,6,3,21.6524,1.95243,21.6524,1.95243,21.6524,1.95243,21.6998,1.94357,21.6479,1.95328
