index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,Inf,14.7666,Inf,14.7666,Inf,14.7666,Inf,0,Inf,0
2,1,2,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
3,1,3,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
4,1,4,1.69881,14.7666,1.69881,14.7666,1.69881,14.7666,Inf,0,Inf,0
5,1,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
6,2,1,0.606476,23.1419,0.606476,23.1419,0.606476,23.1419,Inf,0,Inf,0
7,2,2,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
8,2,3,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
9,2,4,0.606475,23.142,0.606475,23.142,0.606475,23.142,Inf,0,Inf,0
10,2,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
11,3,1,1.24552,26.8927,1.24552,26.8927,1.24552,26.8927,Inf,0,Inf,0
12,3,2,Inf,12.2658,Inf,12.2658,Inf,12.2658,Inf,0,Inf,0
13,3,3,Inf,14.8087,Inf,14.8087,Inf,14.8087,Inf,0,Inf,0
14,3,4,1.24552,26.8927,1.24552,26.8927,1.24552,26.8927,Inf,0,Inf,0
15,3,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
16,4,1,0.862414,32.088,0.862414,32.088,0.862414,32.088,Inf,0,Inf,0
17,4,2,Inf,13.9377,Inf,13.9377,Inf,13.9377,Inf,0,Inf,0
18,4,3,Inf,18.5529,Inf,18.5529,Inf,18.5529,Inf,0,Inf,0
19,4,4,0.862415,32.0879,0.862415,32.0879,0.862415,32.0879,Inf,0,Inf,0
20,4,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
21,5,1,0.649372,36.7291,0.649372,36.7291,0.649372,36.7291,Inf,0,Inf,0
22,5,2,Inf,15.469,Inf,15.469,Inf,15.469,Inf,0,Inf,0
23,5,3,Inf,21.9609,Inf,21.9609,Inf,21.9609,Inf,0,Inf,0
24,5,4,0.649372,36.7292,0.649372,36.7292,0.649372,36.7292,Inf,0,Inf,0
25,5,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
26,6,1,0.553461,39.608,0.553461,39.608,0.553461,39.608,Inf,0,Inf,0
27,6,2,Inf,16.9718,Inf,16.9718,Inf,16.9718,Inf,0,Inf,0
28,6,3,Inf,23.4123,Inf,23.4123,Inf,23.4123,Inf,0,Inf,0
29,6,4,0.553458,39.6081,0.553458,39.6081,0.553458,39.6081,Inf,0,Inf,0
30,6,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
31,7,1,Inf,51.4315,Inf,51.4315,Inf,51.4315,Inf,0,Inf,0
32,7,2,Inf,21.9855,Inf,21.9855,Inf,21.9855,Inf,0,Inf,0
33,7,3,Inf,31.3203,Inf,31.3203,Inf,31.3203,Inf,0,Inf,0
34,7,4,Inf,51.4315,Inf,51.4315,Inf,51.4315,Inf,0,Inf,0
35,7,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
36,8,1,0.195442,60.2167,0.195442,60.2167,0.195442,60.2167,Inf,0,Inf,0
37,8,2,Inf,25.9682,Inf,25.9682,Inf,25.9682,Inf,0,Inf,0
38,8,3,Inf,37.1016,Inf,37.1016,Inf,37.1016,Inf,0,Inf,0
39,8,4,0.195443,60.2166,0.195443,60.2166,0.195443,60.2166,Inf,0,Inf,0
40,8,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
41,9,1,0.172418,63.6597,0.172418,63.6597,0.172418,63.6597,Inf,0,Inf,0
42,9,2,Inf,27.6319,Inf,27.6319,Inf,27.6319,Inf,0,Inf,0
43,9,3,Inf,39.4778,Inf,39.4778,Inf,39.4778,Inf,0,Inf,0
44,9,4,0.172417,63.6598,0.172417,63.6598,0.172417,63.6598,Inf,0,Inf,0
45,9,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
46,10,1,Inf,14.9621,Inf,14.9621,Inf,14.9621,Inf,14.9763,Inf,14.9728
47,10,2,Inf,0.0216154,Inf,0.0216154,Inf,0.0216154,Inf,14.9762,15.0739,14.9732
48,10,3,Inf,14.9605,Inf,14.9605,Inf,14.9605,Inf,14.9767,Inf,14.9731
49,10,4,Inf,14.9621,Inf,14.9621,Inf,14.9621,Inf,14.9765,Inf,14.9728
50,10,5,Inf,9.19642,Inf,9.19642,Inf,9.19642,Inf,14.9768,15.0729,14.9733
51,11,1,Inf,19.0891,Inf,19.0891,Inf,19.0891,Inf,19.1096,Inf,19.1044
52,11,2,Inf,19.0876,Inf,19.0876,Inf,19.0876,Inf,19.1096,Inf,19.1049
53,11,3,Inf,19.0877,Inf,19.0877,Inf,19.0877,Inf,19.1101,Inf,19.1046
54,11,4,Inf,19.0891,Inf,19.0891,Inf,19.0891,Inf,19.1098,Inf,19.1043
55,11,5,Inf,19.0866,Inf,19.0866,Inf,19.0866,Inf,19.1102,Inf,19.105
56,12,1,Inf,21.0218,Inf,21.0218,Inf,21.0218,Inf,21.0452,Inf,21.0391
57,12,2,Inf,21.0203,Inf,21.0203,Inf,21.0203,Inf,21.0452,Inf,21.0396
58,12,3,Inf,21.0204,Inf,21.0204,Inf,21.0204,Inf,21.0457,Inf,21.0393
59,12,4,Inf,21.0218,Inf,21.0218,Inf,21.0218,Inf,21.0455,Inf,21.039
60,12,5,Inf,21.0194,Inf,21.0194,Inf,21.0194,Inf,21.0459,Inf,21.0397
61,13,1,Inf,22.8743,Inf,22.8743,Inf,22.8743,Inf,22.9006,Inf,22.8935
62,13,2,Inf,22.8729,Inf,22.8729,Inf,22.8729,Inf,22.9006,Inf,22.8941
63,13,3,Inf,22.8729,Inf,22.8729,Inf,22.8729,Inf,22.9012,Inf,22.8938
64,13,4,Inf,22.8743,Inf,22.8743,Inf,22.8743,Inf,22.9009,Inf,22.8935
65,13,5,Inf,22.872,Inf,22.872,Inf,22.872,Inf,22.9013,Inf,22.8942
66,14,1,Inf,26.3578,Inf,26.3578,Inf,26.3578,Inf,26.3896,Inf,26.3805
67,14,2,Inf,26.3565,Inf,26.3565,Inf,26.3565,Inf,26.3896,Inf,26.3811
68,14,3,Inf,26.3565,Inf,26.3565,Inf,26.3565,Inf,26.3902,Inf,13.195
69,14,4,Inf,26.3578,Inf,26.3578,Inf,26.3578,Inf,26.3899,Inf,13.234
70,14,5,Inf,26.3557,Inf,26.3557,Inf,26.3557,Inf,26.3904,Inf,26.3813
