index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
82,8,5,Inf,27.6288,Inf,27.6288,Inf,27.6288,Inf,32.2991,Inf,33.8341
83,8,6,Inf,13.7937,Inf,13.7937,Inf,13.7937,Inf,16.287,Inf,35.778
84,8,7,Inf,0.00802998,Inf,0.00802998,Inf,0.00802998,0.831641,33.3516,0.366095,46.0464
85,8,8,Inf,44.1165,Inf,44.1165,Inf,44.1165,Inf,31.2135,0.370361,45.8266
86,8,9,Inf,11.2147,Inf,11.2147,Inf,11.2147,Inf,29.7438,Inf,12.8589
87,8,10,0.536479,39.4574,0.536479,39.4574,0.536479,39.4574,Inf,8.9236,Inf,8.92675
88,8,11,Inf,27.4558,Inf,27.4558,Inf,27.4558,Inf,13.1355,Inf,37.5952
89,9,1,0.341178,47.4132,0.341178,47.4132,0.341178,47.4132,0.350367,46.8918,0.34093,47.4275
90,9,2,Inf,45.5587,Inf,45.5587,Inf,45.5587,Inf,45.4949,Inf,46.9392
91,9,3,Inf,14.8688,Inf,14.8688,Inf,14.8688,0.31903,48.7628,0.833351,33.3261
92,9,4,Inf,37.3212,Inf,37.3212,Inf,37.3212,0.328785,48.1513,Inf,11.1569
93,9,5,Inf,27.6288,Inf,27.6288,Inf,27.6288,Inf,32.2991,Inf,33.8341
94,9,6,Inf,13.7937,Inf,13.7937,Inf,13.7937,Inf,16.287,Inf,35.778
95,9,7,Inf,0.00802998,Inf,0.00802998,Inf,0.00802998,0.831641,33.3516,0.366095,46.0464
96,9,8,Inf,44.1165,Inf,44.1165,Inf,44.1165,Inf,31.2135,0.370361,45.8266
97,9,9,Inf,11.2147,Inf,11.2147,Inf,11.2147,Inf,29.7438,Inf,12.8589
98,9,10,0.536479,39.4574,0.536479,39.4574,0.536479,39.4574,Inf,8.9236,Inf,8.92675
99,9,11,Inf,27.4558,Inf,27.4558,Inf,27.4558,Inf,13.1355,Inf,37.5952
100,10,1,0.237971,47.4132,0.237971,47.4132,0.237971,47.4132,0.241075,46.8918,0.237887,47.4275
101,10,2,Inf,45.55869,Inf,45.55869,Inf,45.55869,Inf,45.49489,0.2407895,46.9392
102,10,3,Inf,43.71094,Inf,43.71094,Inf,43.71094,0.2302915,48.76279,0.3860252,33.32615
103,10,4,Inf,37.32121,Inf,37.32121,Inf,37.32121,0.2337116,48.15127,Inf,11.19462
104,10,5,Inf,27.62881,Inf,27.62881,Inf,27.62881,Inf,32.29911,Inf,33.83411
105,10,6,Inf,13.65681,Inf,13.65681,Inf,13.65681,Inf,17.89474,Inf,35.77804
106,10,7,Inf,0.007998756,Inf,0.007998756,Inf,0.007998756,0.3855058,33.35162,0.2462885,46.04636
107,10,8,0.2591635,44.11646,0.2591635,44.11646,0.2591635,44.11646,Inf,31.21347,0.2476833,45.82655
108,10,9,Inf,14.70555,Inf,14.70555,Inf,14.70555,Inf,29.74383,Inf,12.74743
109,10,10,0.2983387,39.45736,0.2983387,39.45736,0.2983387,39.45736,0.3066681,38.66344,Inf,30.31901
110,10,11,Inf,27.45584,Inf,27.45584,Inf,27.45584,Inf,12.65855,Inf,37.5952
111,11,1,0.6325285,47.41321,0.6325285,47.41321,0.6325285,47.41321,Inf,46.89185,0.6320586,47.42753
112,11,2,Inf,45.55869,Inf,45.55869,Inf,45.55869,Inf,45.49489,Inf,46.9392
113,11,3,Inf,15.28082,Inf,15.28082,Inf,15.28082,0.5914185,48.76279,Inf,33.32615
114,11,4,Inf,37.32121,Inf,37.32121,Inf,37.32121,0.6092842,48.15127,Inf,17.80674
115,11,5,Inf,27.62881,Inf,27.62881,Inf,27.62881,Inf,32.29911,Inf,33.83411
116,11,6,Inf,14.09449,Inf,14.09449,Inf,14.09449,Inf,17.89474,Inf,35.77804
117,11,7,Inf,17.35585,Inf,17.35585,Inf,17.35585,Inf,33.35162,0.6811826,46.04636
118,11,8,Inf,44.11646,Inf,44.11646,Inf,44.11646,Inf,31.21347,0.6897762,45.82655
119,11,9,Inf,10.73366,Inf,10.73366,Inf,10.73366,Inf,29.74383,Inf,12.63134
120,11,10,1.092189,39.45736,1.092189,39.45736,1.092189,39.45736,Inf,38.66344,Inf,30.31901
121,11,11,Inf,27.45584,Inf,27.45584,Inf,27.45584,Inf,0,Inf,37.5952
122,12,1,0.6325285,47.41321,0.6325285,47.41321,0.6325285,47.41321,Inf,46.89185,0.6320586,47.42753
123,12,2,Inf,45.55869,Inf,45.55869,Inf,45.55869,Inf,45.49489,Inf,46.9392
124,12,3,Inf,15.28082,Inf,15.28082,Inf,15.28082,0.5914185,48.76279,Inf,33.32615
125,12,4,Inf,37.32121,Inf,37.32121,Inf,37.32121,0.6092842,48.15127,Inf,17.80674
126,12,5,Inf,27.62881,Inf,27.62881,Inf,27.62881,Inf,32.29911,Inf,33.83411
127,12,6,Inf,14.09449,Inf,14.09449,Inf,14.09449,Inf,17.89474,Inf,35.77804
128,12,7,Inf,17.35585,Inf,17.35585,Inf,17.35585,Inf,33.35162,0.6811826,46.04636
129,12,8,Inf,44.11646,Inf,44.11646,Inf,44.11646,Inf,31.21347,0.6897762,45.82655
130,12,9,Inf,10.73366,Inf,10.73366,Inf,10.73366,Inf,29.74383,Inf,12.63134
131,12,10,1.092189,39.45736,1.092189,39.45736,1.092189,39.45736,Inf,38.66344,Inf,30.31901
132,12,11,Inf,27.45584,Inf,27.45584,Inf,27.45584,Inf,0,Inf,37.5952
133,13,1,1.505318,47.41321,1.505318,47.41321,1.505318,47.41321,Inf,46.89185,1.503484,47.42753
134,13,2,Inf,45.55869,Inf,45.55869,Inf,45.55869,Inf,45.49489,Inf,46.9392
135,13,3,Inf,43.71094,Inf,43.71094,Inf,43.71094,1.348067,48.76279,Inf,33.32615
136,13,4,Inf,37.32121,Inf,37.32121,Inf,37.32121,1.415592,48.15127,Inf,17.80674
137,13,5,Inf,27.62881,Inf,27.62881,Inf,27.62881,Inf,32.29911,Inf,33.83411
138,13,6,Inf,12.731,Inf,12.731,Inf,12.731,Inf,17.89474,Inf,35.77804
139,13,7,Inf,42.49515,Inf,42.49515,Inf,42.49515,Inf,33.35162,Inf,46.04636
140,13,8,Inf,44.11646,Inf,44.11646,Inf,44.11646,Inf,31.21347,Inf,45.82655
141,13,9,Inf,14.72647,Inf,14.72647,Inf,14.72647,Inf,29.74383,Inf,14.75399
142,13,10,Inf,39.45736,Inf,39.45736,Inf,39.45736,Inf,38.66344,Inf,30.31901
143,13,11,Inf,27.45584,Inf,27.45584,Inf,27.45584,Inf,0,Inf,37.5952
144,14,1,Inf,47.41321,Inf,47.41321,Inf,47.41321,Inf,46.89185,Inf,47.42753
145,14,2,Inf,45.55869,Inf,45.55869,Inf,45.55869,Inf,45.49489,Inf,46.9392
146,14,3,Inf,43.71094,Inf,43.71094,Inf,43.71094,Inf,48.76279,Inf,33.32615
147,14,4,Inf,37.32121,Inf,37.32121,Inf,37.32121,Inf,48.15127,Inf,17.80674
148,14,5,Inf,27.62881,Inf,27.62881,Inf,27.62881,Inf,32.29911,Inf,33.83411
149,14,6,Inf,12.731,Inf,12.731,Inf,12.731,Inf,17.89474,Inf,35.77804
150,14,7,Inf,42.49515,Inf,42.49515,Inf,42.49515,Inf,33.35162,Inf,46.04636
151,14,8,Inf,44.11646,Inf,44.11646,Inf,44.11646,Inf,31.21347,Inf,45.82655
152,14,9,Inf,14.72647,Inf,14.72647,Inf,14.72647,Inf,29.74383,Inf,14.75399
153,14,10,Inf,39.45736,Inf,39.45736,Inf,39.45736,Inf,38.66344,Inf,30.31901
154,14,11,Inf,27.45584,Inf,27.45584,Inf,27.45584,Inf,0,Inf,37.5952
