index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor
1,1,1,7.7253,8.6631,1.076,7.7203,8.6786,1.075,7.7261,8.6606,1.079,7.727,8.6578,1.078,7.727,8.6579,1.075,7.727,8.6578,1.078,7.727,8.6579,1.075
2,1,2,7.7253,8.6631,1.076,7.7203,8.6786,1.075,7.7261,8.6606,1.079,7.727,8.6578,1.078,7.727,8.6579,1.075,7.727,8.6578,1.078,7.727,8.6579,1.075
3,1,3,6.78094,12.47,1.077,4.22581,55.1416,1.077,7.25187,10.3164,1.079,7.72708,8.65769,1.078,5.00953,31.2045,1.077,7.72708,8.65769,1.078,5.00953,31.2045,1.077
4,1,4,5.9698,18.1012,1.078,0,Inf,Inf,7.44195,9.60075,1.078,7.7271,8.65762,1.078,2.68219,Inf,1.08,7.7271,8.65762,1.078,2.68219,Inf,1.08
5,1,5,4.23788,54.5974,1.078,7.23826,10.3707,1.075,6.78082,12.4706,1.08,5.00751,31.245,1.08,5.62479,21.6816,1.076,5.00751,31.245,1.08,5.62479,21.6816,1.076
6,1,6,0,Inf,Inf,7.41936,9.68188,1.075,5.94085,18.367,1.076,0,Inf,Inf,5.16928,28.2228,1.077,0,Inf,Inf,5.16928,28.2228,1.077
7,1,7,7.2522,10.3152,1.076,6.77942,12.478,1.075,4.23625,54.6702,1.081,5.63163,21.6008,1.078,7.72698,8.65798,1.075,5.63163,21.6008,1.078,7.72698,8.65798,1.075
8,1,8,7.4401,9.60735,1.076,5.96614,18.1344,1.076,0,Inf,Inf,5.18889,27.8856,1.077,7.72696,8.65805,1.075,5.18889,27.8856,1.077,7.72696,8.65805,1.075
9,1,9,0,Inf,Inf,4.47257,45.3798,1.082,6.31016,15.3575,1.08,4.74899,37.1374,1.081,0,Inf,Inf,4.74899,37.1374,1.081,0,Inf,Inf
10,1,10,6.31128,15.3495,1.077,2.03776,Inf,1.08,4.47442,45.3162,1.079,6.21052,16.0938,1.077,4.75794,36.9077,1.077,6.21052,16.0938,1.077,4.75794,36.9077,1.077
