index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,14.7666,1.69881,14.7666,1.69881,14.7666,1.69881,0,Inf,0,Inf
2,1,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
3,1,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
4,1,4,14.7666,1.69881,14.7666,1.69881,14.7666,1.69881,0,Inf,0,Inf
5,1,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
6,2,1,23.1419,0.606475,23.1419,0.606475,23.1419,0.606475,0,Inf,0,Inf
7,2,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
8,2,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
9,2,4,23.142,0.606475,23.142,0.606475,23.142,0.606475,0,Inf,0,Inf
10,2,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
11,3,1,26.8927,1.24552,26.8927,1.24552,26.8927,1.24552,0,Inf,0,Inf
12,3,2,11.9095,Inf,11.9095,Inf,11.9095,Inf,0,Inf,0,Inf
13,3,3,14.3387,Inf,14.3387,Inf,14.3387,Inf,0,Inf,0,Inf
14,3,4,26.8927,1.24552,26.8927,1.24552,26.8927,1.24552,0,Inf,0,Inf
15,3,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
16,4,1,32.088,0.862413,32.088,0.862413,32.088,0.862413,0,Inf,0,Inf
17,4,2,13.4979,Inf,13.4979,Inf,13.4979,Inf,0,Inf,0,Inf
18,4,3,17.8736,Inf,17.8736,Inf,17.8736,Inf,0,Inf,0,Inf
19,4,4,32.0879,0.862415,32.0879,0.862415,32.0879,0.862415,0,Inf,0,Inf
20,4,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
21,5,1,36.7292,0.64937,36.7292,0.64937,36.7292,0.64937,0,Inf,0,Inf
22,5,2,14.9727,Inf,14.9727,Inf,14.9727,Inf,0,Inf,0,Inf
23,5,3,20.9018,Inf,20.9018,Inf,20.9018,Inf,0,Inf,0,Inf
24,5,4,36.7292,0.649372,36.7292,0.649372,36.7292,0.649372,0,Inf,0,Inf
25,5,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
26,6,1,39.6081,0.553457,39.6081,0.553457,39.6081,0.553457,0,Inf,0,Inf
27,6,2,16.2437,Inf,16.2437,Inf,16.2437,Inf,0,Inf,0,Inf
28,6,3,22.2051,Inf,22.2051,Inf,22.2051,Inf,0,Inf,0,Inf
29,6,4,39.6081,0.553458,39.6081,0.553458,39.6081,0.553458,0,Inf,0,Inf
30,6,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
31,7,1,51.4316,Inf,51.4316,Inf,51.4316,Inf,0,Inf,0,Inf
32,7,2,20.7712,Inf,20.7712,Inf,20.7712,Inf,0,Inf,0,Inf
33,7,3,28.9955,Inf,28.9955,Inf,28.9955,Inf,0,Inf,0,Inf
34,7,4,51.4315,Inf,51.4315,Inf,51.4315,Inf,0,Inf,0,Inf
35,7,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
36,8,1,60.2168,0.195442,60.2168,0.195442,60.2168,0.195442,0,Inf,0,Inf
37,8,2,24.2493,Inf,24.2493,Inf,24.2493,Inf,0,Inf,0,Inf
38,8,3,33.7255,Inf,33.7255,Inf,33.7255,Inf,0,Inf,0,Inf
39,8,4,60.2166,0.195443,60.2166,0.195443,60.2166,0.195443,0,Inf,0,Inf
40,8,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
41,9,1,63.6599,0.172417,63.6599,0.172417,63.6599,0.172417,0,Inf,0,Inf
42,9,2,25.6882,Inf,25.6882,Inf,25.6882,Inf,0,Inf,0,Inf
43,9,3,35.6157,Inf,35.6157,Inf,35.6157,Inf,0,Inf,0,Inf
44,9,4,63.6598,0.172417,63.6598,0.172417,63.6598,0.172417,0,Inf,0,Inf
45,9,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
46,10,1,14.9621,Inf,14.9621,Inf,14.9621,Inf,14.9763,Inf,14.9728,Inf
47,10,2,0.0216154,Inf,0.0216154,Inf,0.0216154,Inf,14.9762,Inf,14.9732,15.0739
48,10,3,14.9605,Inf,14.9605,Inf,14.9605,Inf,14.9767,Inf,14.9731,Inf
49,10,4,14.9621,Inf,14.9621,Inf,14.9621,Inf,14.9765,Inf,14.9728,Inf
50,10,5,9.19642,Inf,9.19642,Inf,9.19642,Inf,14.9768,Inf,14.9733,15.0729
51,11,1,19.0891,Inf,19.0891,Inf,19.0891,Inf,19.1096,Inf,19.1044,Inf
52,11,2,19.0876,Inf,19.0876,Inf,19.0876,Inf,19.1096,Inf,19.1049,Inf
53,11,3,19.0877,Inf,19.0877,Inf,19.0877,Inf,19.1101,Inf,19.1046,Inf
54,11,4,19.0891,Inf,19.0891,Inf,19.0891,Inf,19.1098,Inf,19.1043,Inf
55,11,5,19.0866,Inf,19.0866,Inf,19.0866,Inf,19.1102,Inf,19.105,Inf
56,12,1,21.0218,Inf,21.0218,Inf,21.0218,Inf,21.0452,Inf,21.0391,Inf
57,12,2,21.0203,Inf,21.0203,Inf,21.0203,Inf,21.0452,Inf,21.0396,Inf
58,12,3,21.0204,Inf,21.0204,Inf,21.0204,Inf,21.0457,Inf,21.0393,Inf
59,12,4,21.0218,Inf,21.0218,Inf,21.0218,Inf,21.0455,Inf,21.039,Inf
60,12,5,21.0194,Inf,21.0194,Inf,21.0194,Inf,21.0459,Inf,21.0397,Inf
61,13,1,22.8743,Inf,22.8743,Inf,22.8743,Inf,22.9006,Inf,22.8935,Inf
62,13,2,22.8729,Inf,22.8729,Inf,22.8729,Inf,22.9006,Inf,22.8941,Inf
63,13,3,22.8729,Inf,22.8729,Inf,22.8729,Inf,22.9012,Inf,22.8938,Inf
64,13,4,22.8743,Inf,22.8743,Inf,22.8743,Inf,22.9009,Inf,22.8935,Inf
65,13,5,22.872,Inf,22.872,Inf,22.872,Inf,22.9013,Inf,22.8942,Inf
66,14,1,26.3578,Inf,26.3578,Inf,26.3578,Inf,26.3896,Inf,26.3805,Inf
67,14,2,26.3565,Inf,26.3565,Inf,26.3565,Inf,26.3897,Inf,26.3811,Inf
68,14,3,26.3565,Inf,26.3565,Inf,26.3565,Inf,26.3902,Inf,26.3808,Inf
69,14,4,26.3578,Inf,26.3578,Inf,26.3578,Inf,26.3899,Inf,13.234,Inf
70,14,5,26.3557,Inf,26.3557,Inf,26.3557,Inf,26.3904,Inf,26.3813,Inf
