index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,Inf,14.7664,Inf,14.7664,Inf,14.7664,1.71978,14.6898,Inf,14.8451,Inf,0,Inf,0
2,1,2,Inf,0,Inf,0,Inf,0,Inf,11.6884,Inf,0,Inf,0,Inf,0
3,1,3,Inf,0,Inf,0,Inf,0,Inf,0,Inf,14.0105,Inf,0,Inf,0
4,1,4,1.69886,14.7664,1.69886,14.7664,1.69886,14.7664,Inf,13.9284,Inf,11.7305,Inf,0,Inf,0
5,1,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
6,2,1,Inf,23.1417,Inf,23.1417,Inf,23.1417,Inf,23.001,0.593669,23.3629,Inf,0,Inf,0
7,2,2,Inf,0,Inf,0,Inf,0,Inf,18.9483,Inf,0,Inf,0,Inf,0
8,2,3,Inf,13.771,Inf,13.771,Inf,13.771,Inf,0,Inf,21.3338,Inf,0,Inf,0
9,2,4,0.606491,23.1417,0.606491,23.1417,0.606491,23.1417,Inf,21.2472,Inf,18.8919,Inf,0,Inf,0
10,2,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
11,3,1,Inf,26.8923,Inf,26.8923,Inf,26.8923,0.439454,26.727,0.422396,27.2065,Inf,0,Inf,0
12,3,2,Inf,11.5353,Inf,11.5353,Inf,11.5353,0.661182,22.2703,Inf,0,Inf,0,Inf,0
13,3,3,Inf,15.7091,Inf,15.7091,Inf,15.7091,Inf,0,0.527041,24.6373,Inf,0,Inf,0
14,3,4,Inf,26.8923,Inf,26.8923,Inf,26.8923,0.53323,24.5091,Inf,22.1505,Inf,0,Inf,0
15,3,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
16,4,1,Inf,32.0874,Inf,32.0874,Inf,32.0874,Inf,31.825,0.837917,32.5331,Inf,0,Inf,0
17,4,2,Inf,13.1036,Inf,13.1036,Inf,13.1036,Inf,26.0159,Inf,0,Inf,0,Inf,0
18,4,3,Inf,20.0314,Inf,20.0314,Inf,20.0314,Inf,0,Inf,30.1785,Inf,0,Inf,0
19,4,4,0.862447,32.0874,0.862447,32.0874,0.862447,32.0874,Inf,29.8932,Inf,25.8639,Inf,0,Inf,0
20,4,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
21,5,1,Inf,36.7283,Inf,36.7283,Inf,36.7283,Inf,36.4586,0.627621,37.3263,Inf,0,Inf,0
22,5,2,Inf,14.8334,Inf,14.8334,Inf,14.8334,Inf,29.5253,Inf,0,Inf,0,Inf,0
23,5,3,Inf,23.9809,Inf,23.9809,Inf,23.9809,Inf,0,Inf,35.1057,Inf,0,Inf,0
24,5,4,0.649402,36.7283,0.649402,36.7283,0.649402,36.7283,Inf,34.6934,Inf,29.3415,Inf,0,Inf,0
25,5,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
26,6,1,Inf,39.6071,Inf,39.6071,Inf,39.6071,Inf,39.3002,0.533408,40.3014,Inf,0,Inf,0
27,6,2,Inf,16.2407,Inf,16.2407,Inf,16.2407,Inf,32.0644,Inf,0,Inf,0,Inf,0
28,6,3,Inf,25.4505,Inf,25.4505,Inf,25.4505,Inf,0,Inf,37.675,Inf,0,Inf,0
29,6,4,0.553488,39.6071,0.553488,39.6071,0.553488,39.6071,Inf,37.1259,Inf,31.8202,Inf,0,Inf,0
30,6,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
31,7,1,Inf,13.615,Inf,13.615,Inf,13.615,Inf,13.6415,Inf,13.6208,Inf,13.6353,Inf,13.6146
32,7,2,Inf,21.8263,Inf,21.8263,Inf,21.8263,Inf,13.641,Inf,13.6188,Inf,13.6352,Inf,13.6151
33,7,3,Inf,13.6135,Inf,13.6135,Inf,13.6135,Inf,13.6395,Inf,13.6203,Inf,13.6358,Inf,13.6149
34,7,4,Inf,13.615,Inf,13.615,Inf,13.615,Inf,13.6409,Inf,13.6203,Inf,13.6356,Inf,13.6145
35,7,5,Inf,13.6126,Inf,13.6126,Inf,13.6126,Inf,13.639,Inf,13.6183,Inf,13.6359,Inf,13.6152
36,8,1,Inf,17.4267,Inf,17.4267,Inf,17.4267,Inf,17.4603,Inf,17.4341,Inf,17.4544,Inf,17.4282
37,8,2,Inf,17.4253,Inf,17.4253,Inf,17.4253,Inf,17.4599,Inf,17.4323,Inf,17.4543,Inf,17.4287
38,8,3,Inf,17.4253,Inf,17.4253,Inf,17.4253,Inf,17.4585,Inf,17.4336,Inf,17.4549,Inf,17.4285
39,8,4,Inf,17.4267,Inf,17.4267,Inf,17.4267,Inf,17.4598,Inf,17.4336,Inf,17.4547,Inf,17.4281
40,8,5,Inf,17.4244,Inf,17.4244,Inf,17.4244,Inf,17.458,Inf,17.4318,Inf,17.4551,Inf,17.4289
41,9,1,Inf,19.2206,Inf,19.2206,Inf,19.2206,4.42151,19.2576,Inf,19.2288,Inf,19.2518,Inf,19.223
42,9,2,Inf,19.2193,Inf,19.2193,Inf,19.2193,Inf,19.2572,Inf,19.227,Inf,19.2517,Inf,19.2235
43,9,3,Inf,19.2193,Inf,19.2193,Inf,19.2193,4.42293,19.2558,Inf,19.2284,Inf,19.2523,Inf,19.2233
44,9,4,Inf,19.2206,Inf,19.2206,Inf,19.2206,4.4219,19.2571,Inf,19.2284,Inf,19.2521,Inf,19.2229
45,9,5,Inf,19.2184,Inf,19.2184,Inf,19.2184,Inf,19.2554,Inf,19.2266,Inf,19.2525,Inf,19.2237
46,10,1,0.863494,24.2042,0.863494,24.2042,0.863494,24.2042,0.857768,24.2504,0.862185,24.2147,0.858445,24.2449,0.862868,24.2092
47,10,2,0.863636,24.203,0.863636,24.203,0.863636,24.203,0.857811,24.25,0.862382,24.2131,0.858447,24.2449,0.862792,24.2098
48,10,3,0.863634,24.203,0.863634,24.203,0.863634,24.203,0.857957,24.2488,0.86223,24.2143,0.858363,24.2455,0.862822,24.2095
49,10,4,0.863489,24.2042,0.863489,24.2042,0.863489,24.2042,0.857818,24.25,0.862233,24.2143,0.8584,24.2452,0.862871,24.2092
50,10,5,0.86373,24.2023,0.86373,24.2023,0.86373,24.2023,0.858005,24.2484,0.862428,24.2127,0.858344,24.2457,0.86277,24.21
51,11,1,Inf,30.0479,Inf,30.0479,Inf,30.0479,Inf,30.1048,Inf,30.0612,Inf,30.0996,Inf,30.056
52,11,2,Inf,30.047,Inf,30.047,Inf,30.047,Inf,30.1045,Inf,30.0598,Inf,30.0997,Inf,30.0567
53,11,3,Inf,30.047,Inf,30.047,Inf,30.047,Inf,30.1034,Inf,30.0609,Inf,30.1003,Inf,30.0564
54,11,4,Inf,30.0479,Inf,30.0479,Inf,30.0479,Inf,30.1044,Inf,30.0608,Inf,30.1,Inf,30.0561
55,11,5,Inf,30.0463,Inf,30.0463,Inf,30.0463,Inf,30.1031,Inf,30.0595,Inf,30.1005,Inf,30.0569
56,12,1,Inf,32.678,Inf,32.678,Inf,32.678,2.43974,32.7395,Inf,32.6924,Inf,32.7345,Inf,32.6875
57,12,2,Inf,32.677,Inf,32.677,Inf,32.677,Inf,32.7392,Inf,32.6912,Inf,32.7346,Inf,32.6882
58,12,3,Inf,32.677,Inf,32.677,Inf,32.677,Inf,32.7382,Inf,32.6922,Inf,32.7352,Inf,32.6879
59,12,4,Inf,32.678,Inf,32.678,Inf,32.678,Inf,32.7392,Inf,32.6921,Inf,32.7349,Inf,32.6875
60,12,5,Inf,32.6764,Inf,32.6764,Inf,32.6764,Inf,32.7379,Inf,32.6908,Inf,32.7354,Inf,32.6884
61,13,1,Inf,35.1385,Inf,35.1385,Inf,35.1385,Inf,35.2044,Inf,35.1541,Inf,35.1996,Inf,35.1493
62,13,2,Inf,35.1376,Inf,35.1376,Inf,35.1376,Inf,35.2041,Inf,35.153,Inf,35.1996,Inf,35.1501
63,13,3,Inf,35.1376,Inf,35.1376,Inf,35.1376,Inf,35.2032,Inf,35.1539,Inf,35.2003,Inf,35.1497
64,13,4,Inf,35.1385,Inf,35.1385,Inf,35.1385,Inf,35.2041,Inf,35.1538,Inf,35.1999,Inf,35.1493
65,13,5,Inf,35.137,Inf,35.137,Inf,35.137,Inf,35.2029,Inf,35.1526,Inf,35.2005,Inf,35.1502
66,14,1,Inf,39.6125,Inf,39.6125,Inf,39.6125,Inf,39.6862,Inf,39.6303,Inf,39.6817,Inf,39.6258
67,14,2,Inf,39.6117,Inf,39.6117,Inf,39.6117,Inf,39.686,Inf,39.6293,Inf,39.6817,Inf,39.6265
68,14,3,Inf,39.6117,Inf,39.6117,Inf,39.6117,Inf,39.6851,Inf,39.6301,Inf,39.6824,Inf,39.6261
69,14,4,Inf,39.6125,Inf,39.6125,Inf,39.6125,Inf,39.686,Inf,39.63,Inf,39.6821,Inf,39.6258
70,14,5,Inf,39.6112,Inf,39.6112,Inf,39.6112,Inf,39.6849,Inf,39.629,Inf,39.6827,Inf,39.6267
