index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,14.7664,Inf,14.7664,Inf,14.7664,Inf,1.66063,14.91,Inf,12.6816,Inf,0,Inf,0
2,1,2,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
3,1,3,0,Inf,0,Inf,0,Inf,Inf,0,Inf,13.7853,Inf,0,Inf,0
4,1,4,14.7664,1.69886,14.7664,1.69886,14.7664,1.69886,Inf,13.9284,Inf,11.7305,Inf,0,Inf,0
5,1,5,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
6,2,1,23.1417,Inf,23.1417,Inf,23.1417,Inf,0.58621,23.4949,Inf,22.4963,Inf,0,Inf,0
7,2,2,0,Inf,0,Inf,0,Inf,Inf,18.53,Inf,0,Inf,0,Inf,0
8,2,3,13.3931,Inf,13.3931,Inf,13.3931,Inf,Inf,0,Inf,20.7638,Inf,0,Inf,0
9,2,4,23.1417,0.606491,23.1417,0.606491,23.1417,0.606491,Inf,21.2472,Inf,18.8919,Inf,0,Inf,0
10,2,5,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
11,3,1,0.00798188,Inf,0.00798188,Inf,0.00798188,Inf,0.41706,27.3624,0.465821,26.0374,Inf,0,Inf,0
12,3,2,0,Inf,0,Inf,0,Inf,0.704048,21.6585,Inf,0,Inf,0,Inf,0
13,3,3,15.2058,Inf,15.2058,Inf,15.2058,Inf,Inf,0,0.564699,23.8897,Inf,0,Inf,0
14,3,4,26.8923,Inf,26.8923,Inf,26.8923,Inf,0.53323,24.5091,Inf,22.1505,Inf,0,Inf,0
15,3,5,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
16,4,1,32.0874,Inf,32.0874,Inf,32.0874,Inf,0.83124,32.6578,0.933417,30.8949,Inf,0,Inf,0
17,4,2,12.8416,Inf,12.8416,Inf,12.8416,Inf,Inf,25.1575,Inf,0,Inf,0,Inf,0
18,4,3,19.2276,Inf,19.2276,Inf,19.2276,Inf,Inf,0,Inf,28.996,Inf,0,Inf,0
19,4,4,32.0874,0.862447,32.0874,0.862447,32.0874,0.862447,Inf,29.8932,Inf,25.8639,Inf,0,Inf,0
20,4,5,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
21,5,1,36.7283,Inf,36.7283,Inf,36.7283,Inf,0.62275,37.4641,0.709746,35.2121,Inf,0,Inf,0
22,5,2,14.6293,Inf,14.6293,Inf,14.6293,Inf,Inf,28.4005,Inf,0,Inf,0,Inf,0
23,5,3,22.8027,Inf,22.8027,Inf,22.8027,Inf,Inf,0,Inf,33.4381,Inf,0,Inf,0
24,5,4,36.7283,0.649402,36.7283,0.649402,36.7283,0.649402,Inf,34.6934,Inf,29.3415,Inf,0,Inf,0
25,5,5,0,Inf,0,Inf,0,Inf,Inf,0,Inf,0,Inf,0,Inf,0
26,6,1,39.6071,Inf,39.6071,Inf,39.6071,Inf,0.53212,40.3472,0.609225,37.855,Inf,0,Inf,0
27,6,2,15.909,Inf,15.909,Inf,15.909,Inf,Inf,30.6724,Inf,0,Inf,0,Inf,0
