index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,Inf,15.5678,Inf,15.5678,Inf,15.5678,1.66593,14.8898,1.60414,15.1315,Inf,0,Inf,0
2,1,2,Inf,0,Inf,0,Inf,0,Inf,12.2561,Inf,0,Inf,0,Inf,0
3,1,3,Inf,0,Inf,0,Inf,0,Inf,0,Inf,13.7136,Inf,0,Inf,0
4,1,4,1.65796,14.9202,1.65796,14.9202,1.65796,14.9202,Inf,13.6576,Inf,12.2015,Inf,0,Inf,0
5,1,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
6,2,1,Inf,23.3988,Inf,23.3988,Inf,23.3988,Inf,23.198,0.576754,23.6658,Inf,0,Inf,0
7,2,2,Inf,0,Inf,0,Inf,0,Inf,19.5958,Inf,0,Inf,0,Inf,0
8,2,3,Inf,13.0096,Inf,13.0096,Inf,13.0096,Inf,0,Inf,21.0808,Inf,0,Inf,0
9,2,4,0.580664,23.5946,0.580664,23.5946,0.580664,23.5946,Inf,21.1755,Inf,19.7035,Inf,0,Inf,0
10,2,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
11,3,1,Inf,27.1806,Inf,27.1806,Inf,27.1806,0.429051,27.0161,0.413091,27.4803,Inf,0,Inf,0
12,3,2,Inf,12.3904,Inf,12.3904,Inf,12.3904,0.619353,22.9266,Inf,0,Inf,0,Inf,0
13,3,3,Inf,14.9301,Inf,14.9301,Inf,14.9301,Inf,0,0.538148,24.4088,Inf,0,Inf,0
14,3,4,Inf,27.234,Inf,27.234,Inf,27.234,0.543342,24.3043,Inf,22.8493,Inf,0,Inf,0
15,3,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
16,4,1,Inf,32.3899,Inf,32.3899,Inf,32.3899,Inf,32.1886,0.822533,32.8225,Inf,0,Inf,0
17,4,2,Inf,14.0556,Inf,14.0556,Inf,14.0556,Inf,26.9369,Inf,0,Inf,0,Inf,0
18,4,3,Inf,18.7251,Inf,18.7251,Inf,18.7251,Inf,0,Inf,29.679,Inf,0,Inf,0
19,4,4,0.844058,32.4198,0.844058,32.4198,0.844058,32.4198,Inf,29.4247,Inf,26.7696,Inf,0,Inf,0
20,4,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
21,5,1,Inf,37.0844,Inf,37.0844,Inf,37.0844,Inf,36.7999,0.615858,37.6617,Inf,0,Inf,0
22,5,2,Inf,15.5709,Inf,15.5709,Inf,15.5709,Inf,30.4244,Inf,0,Inf,0,Inf,0
23,5,3,Inf,22.1871,Inf,22.1871,Inf,22.1871,Inf,0,Inf,34.4345,Inf,0,Inf,0
24,5,4,0.635499,37.1066,0.635499,37.1066,0.635499,37.1066,Inf,34.0251,Inf,30.3329,Inf,0,Inf,0
25,5,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
26,6,1,Inf,40.0358,Inf,40.0358,Inf,40.0358,Inf,39.6697,0.521915,40.7159,Inf,0,Inf,0
27,6,2,Inf,16.9694,Inf,16.9694,Inf,16.9694,Inf,32.9006,Inf,0,Inf,0,Inf,0
28,6,3,Inf,23.8139,Inf,23.8139,Inf,23.8139,Inf,0,Inf,37.3098,Inf,0,Inf,0
29,6,4,0.540519,40.0513,0.540519,40.0513,0.540519,40.0513,Inf,36.5753,Inf,32.8807,Inf,0,Inf,0
30,6,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
31,7,1,Inf,51.8828,Inf,51.8828,Inf,51.8828,Inf,51.4274,Inf,53.0452,Inf,0,Inf,0
32,7,2,Inf,22.0021,Inf,22.0021,Inf,22.0021,Inf,43.1438,Inf,8.3605,Inf,0,Inf,8.34955
33,7,3,Inf,31.5626,Inf,31.5626,Inf,31.5626,Inf,0,Inf,48.709,Inf,0,Inf,0
34,7,4,Inf,51.9268,Inf,51.9268,Inf,51.9268,Inf,47.744,Inf,42.4057,Inf,0,Inf,0
35,7,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
36,8,1,0.184566,61.7608,0.184566,61.7608,0.184566,61.7608,Inf,60.5489,0.175122,63.2195,Inf,0,Inf,0
37,8,2,Inf,26.0631,Inf,26.0631,Inf,26.0631,Inf,50.4614,Inf,11.0327,Inf,0,Inf,11.0218
