index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor
1,1,1,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
2,1,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
3,1,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
4,1,4,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
5,1,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
6,1,6,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
7,1,7,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
8,1,8,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
9,1,9,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
10,1,10,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
11,1,11,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
12,2,1,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
13,2,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
14,2,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
15,2,4,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
16,2,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
17,2,6,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
18,2,7,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
19,2,8,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
20,2,9,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
21,2,10,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
22,2,11,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
23,3,1,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
24,3,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
25,3,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
26,3,4,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
27,3,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
28,3,6,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
29,3,7,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
30,3,8,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
31,3,9,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
32,3,10,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
33,3,11,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
34,4,1,15.6353,3.88245,15.7219,3.83646,15.6522,3.87341,15.6176,3.89196,15.6874,3.85466,15.7042,3.84575,16.5496,3.43605,16.7055,3.36793,16.5707,3.42673
