index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor
32,3,8,9.28627,5.31123,9.35745,5.20736,9.38333,5.17035,9.32738,5.25087,9.30135,5.28897,9.39825,5.14918,10.4669,3.91453,10.5503,3.83731,10.4607,3.92033
33,3,9,9.28627,5.31123,9.35745,5.20736,9.38333,5.17035,9.32738,5.25087,9.30135,5.28897,9.39825,5.14918,10.4669,3.91453,10.5503,3.83731,10.4607,3.92033
34,3,10,9.28627,5.31123,9.35745,5.20736,9.38333,5.17035,9.32738,5.25087,9.30135,5.28897,9.39825,5.14918,10.4669,3.91453,10.5503,3.83731,10.4607,3.92033
35,3,11,9.28627,5.31123,9.35745,5.20736,9.38333,5.17035,9.32738,5.25087,9.30135,5.28897,9.39825,5.14918,10.4669,3.91453,10.5503,3.83731,10.4607,3.92033
36,3,12,9.28627,5.31123,9.35745,5.20736,9.38333,5.17035,9.32738,5.25087,9.30135,5.28897,9.39825,5.14918,10.4669,3.91453,10.5503,3.83731,10.4607,3.92033
37,4,1,15.6353,3.88245,15.7219,3.83646,15.6522,3.87341,15.6176,3.89196,15.6874,3.85466,15.7042,3.84575,16.5496,3.43605,16.7055,3.36793,16.5707,3.42673
38,4,2,15.6353,3.88245,15.7219,3.83646,15.6522,3.87341,15.6176,3.89196,15.6874,3.85466,15.7042,3.84575,16.5496,3.43605,16.7055,3.36793,16.5707,3.42673
39,4,3,15.6353,3.88245,15.7219,3.83646,15.6522,3.87341,15.6176,3.89196,15.6874,3.85466,15.7042,3.84575,16.5496,3.43605,16.7055,3.36793,16.5707,3.42673
40,4,4,15.6353,3.88245,15.7219,3.83646,15.6522,3.87341,15.6176,3.89196,15.6874,3.85466,15.7042,3.84575,16.5496,3.43605,16.7055,3.36793,16.5707,3.42673
41,4,5,15.6353,3.88245,15.7219,3.83646,15.6522,3.87341,15.6176,3.89196,15.6874,3.85466,15.7042,3.84575,16.5496,3.43605,16.7055,3.36793,16.5707,3.42673
42,4,6,15.6353,3.88245,15.7219,3.83646,15.6522,3.87341,15.6176,3.89196,15.6874,3.85466,15.7042,3.84575,16.5496,3.43605,16.7055,3.36793,16.5707,3.42673
43,4,7,15.6353,3.88245,15.7219,3.83646,15.6522,3.87341,15.6176,3.89196,15.6874,3.85466,15.7042,3.84575,16.5496,3.43605,16.7055,3.36793,16.5707,3.42673
44,4,8,15.6353,3.88245,15.7219,3.83646,15.6522,3.87341,15.6176,3.89196,15.6874,3.85466,15.7042,3.84575,16.5496,3.43605,16.7055,3.36793,16.5707,3.42673
45,4,9,15.6353,3.88245,15.7219,3.83646,15.6522,3.87341,15.6176,3.89196,15.6874,3.85466,15.7042,3.84575,16.5496,3.43605,16.7055,3.36793,16.5707,3.42673
46,4,10,15.6353,3.88245,15.7219,3.83646,15.6522,3.87341,15.6176,3.89196,15.6874,3.85466,15.7042,3.84575,16.5496,3.43605,16.7055,3.36793,16.5707,3.42673
47,4,11,15.6353,3.88245,15.7219,3.83646,15.6522,3.87341,15.6176,3.89196,15.6874,3.85466,15.7042,3.84575,16.5496,3.43605,16.7055,3.36793,16.5707,3.42673
48,4,12,15.6353,3.88245,15.7219,3.83646,15.6522,3.87341,15.6176,3.89196,15.6874,3.85466,15.7042,3.84575,16.5496,3.43605,16.7055,3.36793,16.5707,3.42673
49,5,1,20.6555,2.15375,20.7758,2.12782,20.613,2.163,20.5868,2.16875,20.7498,2.13338,20.7076,2.14246,21.4165,1.99742,21.6521,1.95249,21.4748,1.98616
50,5,2,20.6555,2.15375,20.7758,2.12782,20.613,2.163,20.5868,2.16875,20.7498,2.13338,20.7076,2.14246,21.4165,1.99742,21.6521,1.95249,21.4748,1.98616
51,5,3,20.6555,2.15375,20.7758,2.12782,20.613,2.163,20.5868,2.16875,20.7498,2.13338,20.7076,2.14246,21.4165,1.99742,21.6521,1.95249,21.4748,1.98616
52,5,4,20.6555,2.15375,20.7758,2.12782,20.613,2.163,20.5868,2.16875,20.7498,2.13338,20.7076,2.14246,21.4165,1.99742,21.6521,1.95249,21.4748,1.98616
53,5,5,20.6555,2.15375,20.7758,2.12782,20.613,2.163,20.5868,2.16875,20.7498,2.13338,20.7076,2.14246,21.4165,1.99742,21.6521,1.95249,21.4748,1.98616
54,5,6,20.6555,2.15375,20.7758,2.12782,20.613,2.163,20.5868,2.16875,20.7498,2.13338,20.7076,2.14246,21.4165,1.99742,21.6521,1.95249,21.4748,1.98616
55,5,7,20.6555,2.15375,20.7758,2.12782,20.613,2.163,20.5868,2.16875,20.7498,2.13338,20.7076,2.14246,21.4165,1.99742,21.6521,1.95249,21.4748,1.98616
56,5,8,20.6555,2.15375,20.7758,2.12782,20.613,2.163,20.5868,2.16875,20.7498,2.13338,20.7076,2.14246,21.4165,1.99742,21.6521,1.95249,21.4748,1.98616
57,5,9,20.6555,2.15375,20.7758,2.12782,20.613,2.163,20.5868,2.16875,20.7498,2.13338,20.7076,2.14246,21.4165,1.99742,21.6521,1.95249,21.4748,1.98616
58,5,10,20.6555,2.15375,20.7758,2.12782,20.613,2.163,20.5868,2.16875,20.7498,2.13338,20.7076,2.14246,21.4165,1.99742,21.6521,1.95249,21.4748,1.98616
59,5,11,20.6555,2.15375,20.7758,2.12782,20.613,2.163,20.5868,2.16875,20.7498,2.13338,20.7076,2.14246,21.4165,1.99742,21.6521,1.95249,21.4748,1.98616
60,5,12,20.6555,2.15375,20.7758,2.12782,20.613,2.163,20.5868,2.16875,20.7498,2.13338,20.7076,2.14246,21.4165,1.99742,21.6521,1.95249,21.4748,1.98616
61,6,1,21.5397,1.97373,21.6718,1.9488,21.4951,1.98226,21.4657,1.98791,21.6426,1.95427,21.5982,1.96263,22.3309,1.8312,22.5837,1.78889,22.3985,1.81974
62,6,2,21.5397,1.97373,21.6718,1.9488,21.4951,1.98226,21.4657,1.98791,21.6426,1.95427,21.5982,1.96263,22.3309,1.8312,22.5837,1.78889,22.3985,1.81974
63,6,3,21.5397,1.97373,21.6718,1.9488,21.4951,1.98226,21.4657,1.98791,21.6426,1.95427,21.5982,1.96263,22.3309,1.8312,22.5837,1.78889,22.3985,1.81974
64,6,4,21.5397,1.97373,21.6718,1.9488,21.4951,1.98226,21.4657,1.98791,21.6426,1.95427,21.5982,1.96263,22.3309,1.8312,22.5837,1.78889,22.3985,1.81974
65,6,5,21.5397,1.97373,21.6718,1.9488,21.4951,1.98226,21.4657,1.98791,21.6426,1.95427,21.5982,1.96263,22.3309,1.8312,22.5837,1.78889,22.3985,1.81974
66,6,6,21.5397,1.97373,21.6718,1.9488,21.4951,1.98226,21.4657,1.98791,21.6426,1.95427,21.5982,1.96263,22.3309,1.8312,22.5837,1.78889,22.3985,1.81974
67,6,7,21.5397,1.97373,21.6718,1.9488,21.4951,1.98226,21.4657,1.98791,21.6426,1.95427,21.5982,1.96263,22.3309,1.8312,22.5837,1.78889,22.3985,1.81974
68,6,8,21.5397,1.97373,21.6718,1.9488,21.4951,1.98226,21.4657,1.98791,21.6426,1.95427,21.5982,1.96263,22.3309,1.8312,22.5837,1.78889,22.3985,1.81974
69,6,9,21.5397,1.97373,21.6718,1.9488,21.4951,1.98226,21.4657,1.98791,21.6426,1.95427,21.5982,1.96263,22.3309,1.8312,22.5837,1.78889,22.3985,1.81974
70,6,10,21.5397,1.97373,21.6718,1.9488,21.4951,1.98226,21.4657,1.98791,21.6426,1.95427,21.5982,1.96263,22.3309,1.8312,22.5837,1.78889,22.3985,1.81974
71,6,11,21.5397,1.97373,21.6718,1.9488,21.4951,1.98226,21.4657,1.98791,21.6426,1.95427,21.5982,1.96263,22.3309,1.8312,22.5837,1.78889,22.3985,1.81974
72,6,12,21.5397,1.97373,21.6718,1.9488,21.4951,1.98226,21.4657,1.98791,21.6426,1.95427,21.5982,1.96263,22.3309,1.8312,22.5837,1.78889,22.3985,1.81974
73,7,1,31.5956,0.968306,31.8614,0.948397,31.435,0.980637,31.3992,0.983415,31.8261,0.951008,31.6666,0.962933,32.1934,0.924345,32.6829,0.890459,32.3933,0.910282
74,7,2,31.5956,0.968306,31.8614,0.948397,31.435,0.980637,31.3992,0.983415,31.8261,0.951008,31.6666,0.962933,32.1934,0.924345,32.6829,0.890459,32.3933,0.910282
75,7,3,31.5956,0.968306,31.8614,0.948397,31.435,0.980637,31.3992,0.983415,31.8261,0.951008,31.6666,0.962933,32.1934,0.924345,32.6829,0.890459,32.3933,0.910282
76,7,4,31.5956,0.968306,31.8614,0.948397,31.435,0.980637,31.3992,0.983415,31.8261,0.951008,31.6666,0.962933,32.1934,0.924345,32.6829,0.890459,32.3933,0.910282
77,7,5,31.5956,0.968306,31.8614,0.948397,31.435,0.980637,31.3992,0.983415,31.8261,0.951008,31.6666,0.962933,32.1934,0.924345,32.6829,0.890459,32.3933,0.910282
78,7,6,31.5956,0.968306,31.8614,0.948397,31.435,0.980637,31.3992,0.983415,31.8261,0.951008,31.6666,0.962933,32.1934,0.924345,32.6829,0.890459,32.3933,0.910282
79,7,7,31.5956,0.968306,31.8614,0.948397,31.435,0.980637,31.3992,0.983415,31.8261,0.951008,31.6666,0.962933,32.1934,0.924345,32.6829,0.890459,32.3933,0.910282
80,7,8,31.5956,0.968306,31.8614,0.948397,31.435,0.980637,31.3992,0.983415,31.8261,0.951008,31.6666,0.962933,32.1934,0.924345,32.6829,0.890459,32.3933,0.910282
81,7,9,31.5956,0.968306,31.8614,0.948397,31.435,0.980637,31.3992,0.983415,31.8261,0.951008,31.6666,0.962933,32.1934,0.924345,32.6829,0.890459,32.3933,0.910282
82,7,10,31.5956,0.968306,31.8614,0.948397,31.435,0.980637,31.3992,0.983415,31.8261,0.951008,31.6666,0.962933,32.1934,0.924345,32.6829,0.890459,32.3933,0.910282
83,7,11,31.5956,0.968306,31.8614,0.948397,31.435,0.980637,31.3992,0.983415,31.8261,0.951008,31.6666,0.962933,32.1934,0.924345,32.6829,0.890459,32.3933,0.910282
84,7,12,31.5956,0.968306,31.8614,0.948397,31.435,0.980637,31.3992,0.983415,31.8261,0.951008,31.6666,0.962933,32.1934,0.924345,32.6829,0.890459,32.3933,0.910282
85,8,1,39.1674,0.546609,39.5883,0.531998,38.918,0.555561,38.8593,0.557697,39.5306,0.533963,39.2835,0.54252,39.6276,0.530662,40.3544,0.506881,39.9808,0.518899
