index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor
1,1,1,14.7725,1.69721,1.075,14.9146,1.65942,1.074,14.6918,1.71924,1.075,14.7258,1.70989,1.077,14.8716,1.67072,1.074,0,Inf,Inf,0,Inf,Inf
2,1,2,6.19442,16.2176,1.08,8.72445,6.25131,1.079,14.7647,1.69933,1.075,12.1131,2.7282,1.078,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
3,1,3,8.70597,6.28634,1.075,14.842,1.67857,1.074,6.20734,16.1181,1.075,0,Inf,Inf,13.5859,2.06946,1.074,0,Inf,Inf,0,Inf,Inf
4,1,4,14.7725,1.69721,1.075,6.19324,16.2267,1.076,8.6898,6.31723,1.077,13.5417,2.08561,1.076,12.0803,2.74629,1.075,0,Inf,Inf,0,Inf,Inf
5,1,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
6,2,1,23.113,0.608183,1.075,23.445,0.589012,1.073,22.9919,0.615404,1.074,22.9593,0.617372,1.076,23.3493,0.594446,1.074,0,Inf,Inf,0,Inf,Inf
7,2,2,10.3823,3.99521,1.079,12.8822,2.35061,1.075,23.169,0.604885,1.074,19.3179,0.912526,1.075,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
8,2,3,12.9233,2.33266,1.074,23.269,0.599064,1.073,10.4083,3.97012,1.074,0,Inf,Inf,20.8882,0.764105,1.074,0,Inf,Inf,0,Inf,Inf
9,2,4,23.113,0.608183,1.075,10.3345,4.04192,1.075,12.8572,2.36159,1.076,20.7474,0.775897,1.075,19.2972,0.914753,1.075,0,Inf,Inf,0,Inf,Inf
10,2,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
