index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,14.7384,1.70646,14.7384,1.70646,14.7384,1.70646,0,Inf,0,Inf
2,1,2,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
3,1,3,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
4,1,4,14.7384,1.70646,14.7384,1.70646,14.7384,1.70646,0,Inf,0,Inf
5,1,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
6,2,1,23.1418,0.606482,23.1418,0.606482,23.1418,0.606482,0,Inf,0,Inf
7,2,2,14.4517,Inf,14.4517,Inf,14.4517,Inf,0,Inf,0,Inf
8,2,3,13.3016,Inf,13.3016,Inf,13.3016,Inf,0,Inf,0,Inf
9,2,4,23.1418,0.606483,23.1418,0.606483,23.1418,0.606483,0,Inf,0,Inf
10,2,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
11,3,1,26.8927,1.24552,26.8927,1.24552,26.8927,1.24552,0,Inf,0,Inf
12,3,2,16.4465,Inf,16.4465,Inf,16.4465,Inf,0,Inf,0,Inf
13,3,3,14.8581,Inf,14.8581,Inf,14.8581,Inf,0,Inf,0,Inf
14,3,4,26.8927,1.24552,26.8927,1.24552,26.8927,1.24552,0,Inf,0,Inf
15,3,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
16,4,1,15.9775,3.70539,15.9775,3.70539,15.9775,3.70539,16.001,Inf,15.9361,Inf
17,4,2,15.9777,3.7053,15.9777,3.7053,15.9777,3.7053,16.0007,Inf,15.9364,Inf
18,4,3,15.977,3.70564,15.977,3.70564,15.977,3.70564,16.0013,3.69357,15.9365,Inf
19,4,4,15.9775,3.70539,15.9775,3.70539,15.9775,3.70539,16.0014,Inf,15.9359,Inf
20,4,5,15.9773,Inf,15.9773,Inf,15.9773,Inf,16.0014,3.69353,15.9365,Inf
21,5,1,20.8038,2.12186,20.8038,2.12186,20.8038,2.12186,20.8368,Inf,20.7511,Inf
22,5,2,20.8039,2.12183,20.8039,2.12183,20.8039,2.12183,20.8366,Inf,20.7514,Inf
23,5,3,20.8034,2.12194,20.8034,2.12194,20.8034,2.12194,20.8371,2.1148,20.7515,Inf
24,5,4,20.8038,2.12186,20.8038,2.12186,20.8038,2.12186,20.8372,Inf,20.7508,Inf
25,5,5,20.8036,2.1219,20.8036,2.1219,20.8036,2.1219,20.8372,2.11478,20.7515,Inf
26,6,1,21.7139,1.94095,21.7139,1.94095,21.7139,1.94095,21.7489,Inf,21.6591,Inf
27,6,2,21.7141,1.94092,21.7141,1.94092,21.7141,1.94092,21.7487,Inf,21.6594,1.95112
28,6,3,21.7135,1.94103,21.7135,1.94103,21.7135,1.94103,21.7493,1.9344,21.6595,Inf
29,6,4,21.7139,1.94095,21.7139,1.94095,21.7139,1.94095,21.7493,Inf,21.6589,Inf
30,6,5,21.7137,1.94099,21.7137,1.94099,21.7137,1.94099,21.7493,1.93439,21.6595,Inf
31,7,1,31.522,Inf,31.522,Inf,31.522,Inf,31.5794,Inf,31.4466,Inf
32,7,2,31.5221,Inf,31.5221,Inf,31.5221,Inf,31.5792,Inf,31.4469,Inf
33,7,3,31.5217,Inf,31.5217,Inf,31.5217,Inf,31.5797,Inf,31.447,Inf
34,7,4,31.522,Inf,31.522,Inf,31.522,Inf,31.5798,Inf,31.4464,Inf
35,7,5,31.5219,Inf,31.5219,Inf,31.5219,Inf,31.5798,Inf,31.447,Inf
36,8,1,38.9391,0.554795,38.9391,0.554795,38.9391,0.554795,39.0151,0.552049,38.851,0.558002
37,8,2,38.9392,0.554789,38.9392,0.554789,38.9392,0.554789,39.0149,0.552056,38.8513,0.557989
38,8,3,38.9388,0.554803,38.9388,0.554803,38.9388,0.554803,39.0154,0.552036,38.8514,0.557988
39,8,4,38.9391,0.554795,38.9391,0.554795,38.9391,0.554795,39.0155,0.552035,38.8508,0.558009
