index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
2,1,2,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
3,1,3,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
4,1,4,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
5,1,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
6,1,6,Inf,13.6575,Inf,13.6575,Inf,13.6575,Inf,15.6694,Inf,0.0231432
7,1,7,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
8,1,8,Inf,10.8292,Inf,10.8292,Inf,10.8292,Inf,7.48719,Inf,11.8851
9,1,9,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
10,1,10,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
11,1,11,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
12,2,1,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
13,2,2,Inf,10.68,Inf,10.68,Inf,10.68,Inf,10.4656,Inf,0
14,2,3,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
15,2,4,Inf,7.58033,Inf,7.58033,Inf,7.58033,Inf,10.4898,Inf,0
16,2,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
17,2,6,Inf,14.4176,Inf,14.4176,Inf,14.4176,Inf,16.7186,Inf,8.2435
18,2,7,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
19,2,8,Inf,18.4205,Inf,18.4205,Inf,18.4205,Inf,8.06207,Inf,18.626
20,2,9,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
21,2,10,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
22,2,11,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
23,3,1,Inf,11.2967,Inf,11.2967,Inf,11.2967,Inf,11.5305,Inf,10.2275
24,3,2,Inf,10.845,Inf,10.845,Inf,10.845,Inf,11.0776,Inf,10.1478
25,3,3,Inf,0,Inf,0,Inf,0,Inf,10.4635,Inf,0
26,3,4,Inf,8.33655,Inf,8.33655,Inf,8.33655,Inf,11.8475,Inf,0
27,3,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
28,3,6,Inf,131.8403,Inf,131.8403,Inf,131.8403,0.03730182,84.03455,0.01574747,131.7001
29,3,7,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
30,3,8,Inf,10.0705,Inf,10.0705,Inf,10.0705,Inf,7.33892,Inf,12.7184
31,3,9,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
32,3,10,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
33,3,11,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
34,4,1,2.97689,17.704,2.97689,17.704,2.97689,17.704,Inf,0.00802347,Inf,17.4002
35,4,2,Inf,0.0120435,Inf,0.0120435,Inf,0.0120435,Inf,0.0120194,3.27231,16.9326
36,4,3,Inf,5.76471,Inf,5.76471,Inf,5.76471,3.11233,17.3363,Inf,11.9205
37,4,4,Inf,1.78234,Inf,1.78234,Inf,1.78234,2.7241,18.4639,Inf,0
38,4,5,Inf,9.1296,Inf,9.1296,Inf,9.1296,Inf,10.5506,Inf,5.26216
39,4,6,Inf,3.79884,Inf,3.79884,Inf,3.79884,Inf,5.08643,Inf,2.39452
40,4,7,Inf,9.04931,Inf,9.04931,Inf,9.04931,Inf,40.1677,3.32279,16.8114
41,4,8,0.698816,35.4727,0.698816,35.4727,0.698816,35.4727,Inf,2.99771,Inf,3.03132
42,4,9,Inf,0,Inf,0,Inf,0,Inf,10.9601,Inf,0
43,4,10,Inf,13.2631,Inf,13.2631,Inf,13.2631,Inf,13.2187,Inf,10.0229
44,4,11,Inf,0,Inf,0,Inf,0,Inf,0,Inf,15.6381
45,5,1,Inf,0.00795426,Inf,0.00795426,Inf,0.00795426,1.47502,24.7858,1.82899,22.3438
46,5,2,Inf,11.5723,Inf,11.5723,Inf,11.5723,1.67725,23.2962,Inf,28.0095
47,5,3,Inf,11.7916,Inf,11.7916,Inf,11.7916,1.75952,22.7646,Inf,86.9643
