index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,Inf,12.9526,Inf,12.9526,Inf,12.9526,Inf,0,Inf,0
2,1,2,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
3,1,3,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
4,1,4,1.66566,14.8909,1.66566,14.8909,1.66566,14.8909,Inf,0,Inf,0
5,1,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
6,2,1,0.591564,23.3999,0.591564,23.3999,0.591564,23.3999,Inf,0,Inf,0
7,2,2,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
8,2,3,Inf,13.0457,Inf,13.0457,Inf,13.0457,Inf,0,Inf,0
9,2,4,0.596578,23.3121,0.596578,23.3121,0.596578,23.3121,Inf,0,Inf,0
10,2,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
11,3,1,1.21925,27.1705,1.21925,27.1705,1.21925,27.1705,Inf,0,Inf,0
12,3,2,Inf,12.4058,Inf,12.4058,Inf,12.4058,Inf,0,Inf,0
13,3,3,Inf,14.9503,Inf,14.9503,Inf,14.9503,Inf,0,Inf,0
14,3,4,1.22443,27.115,1.22443,27.115,1.22443,27.115,Inf,0,Inf,0
15,3,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
16,4,1,0.846375,32.3773,0.846375,32.3773,0.846375,32.3773,Inf,0,Inf,0
17,4,2,Inf,14.0631,Inf,14.0631,Inf,14.0631,Inf,0,Inf,0
18,4,3,Inf,18.7412,Inf,18.7412,Inf,18.7412,Inf,0,Inf,0
19,4,4,0.837552,32.5399,0.837552,32.5399,0.837552,32.5399,Inf,0,Inf,0
20,4,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
21,5,1,0.635831,37.0975,0.635831,37.0975,0.635831,37.0975,Inf,0,Inf,0
22,5,2,Inf,15.6511,Inf,15.6511,Inf,15.6511,Inf,0,Inf,0
23,5,3,Inf,22.5054,Inf,22.5054,Inf,22.5054,Inf,0,Inf,0
24,5,4,0.636348,37.0832,0.636348,37.0832,0.636348,37.0832,Inf,0,Inf,0
25,5,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
26,6,1,0.542595,39.9792,0.542595,39.9792,0.542595,39.9792,Inf,0,Inf,0
27,6,2,Inf,17.1253,Inf,17.1253,Inf,17.1253,Inf,0,Inf,0
28,6,3,Inf,23.6662,Inf,23.6662,Inf,23.6662,Inf,0,Inf,0
29,6,4,0.542643,39.9775,0.542643,39.9775,0.542643,39.9775,Inf,0,Inf,0
30,6,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
31,7,1,Inf,51.9487,Inf,51.9487,Inf,51.9487,Inf,0,Inf,0
32,7,2,Inf,22.1207,Inf,22.1207,Inf,22.1207,Inf,0,Inf,0
33,7,3,Inf,31.5501,Inf,31.5501,Inf,31.5501,Inf,0,Inf,0
34,7,4,Inf,51.9364,Inf,51.9364,Inf,51.9364,Inf,0,Inf,0
35,7,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
36,8,1,0.191767,60.7233,0.191767,60.7233,0.191767,60.7233,Inf,0,Inf,0
37,8,2,Inf,9.5101,Inf,9.5101,Inf,9.5101,Inf,0,Inf,11.2061
38,8,3,Inf,38.8103,Inf,38.8103,Inf,38.8103,Inf,0,Inf,0
39,8,4,0.191792,60.7198,0.191792,60.7198,0.191792,60.7198,Inf,0,Inf,0
40,8,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
41,9,1,0.168658,64.2897,0.168658,64.2897,0.168658,64.2897,Inf,0,Inf,0
42,9,2,Inf,11.1459,Inf,11.1459,Inf,11.1459,Inf,0,Inf,12.8266
43,9,3,Inf,41.4883,Inf,41.4883,Inf,41.4883,Inf,0,Inf,0
44,9,4,0.168322,64.3469,0.168322,64.3469,0.168322,64.3469,Inf,0,Inf,0
45,9,5,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0
46,10,1,Inf,15.3037,Inf,15.3037,Inf,15.3037,Inf,15.3364,Inf,15.3137
47,10,2,Inf,13.5783,Inf,13.5783,Inf,13.5783,Inf,15.4424,Inf,15.3679
48,10,3,11.0486,15.5101,11.0486,15.5101,11.0486,15.5101,Inf,15.4846,Inf,15.5255
49,10,4,11.1413,15.4949,11.1413,15.4949,11.1413,15.4949,Inf,9.64931,Inf,9.63539
50,10,5,9.41936,15.8076,9.41936,15.8076,9.41936,15.8076,Inf,15.7827,Inf,15.6383
51,11,1,Inf,19.5344,Inf,19.5344,Inf,19.5344,Inf,19.5888,Inf,19.5217
52,11,2,Inf,19.6839,Inf,19.6839,Inf,19.6839,Inf,19.7729,Inf,19.6516
53,11,3,Inf,19.7168,Inf,19.7168,Inf,19.7168,Inf,19.6875,Inf,10.1343
