tipoCurto,IA_Sim,IB_Sim,IC_Sim,IA_Calc,IB_Calc,IC_Calc
1,67.1659,61.5869,59.0317,67.2362,61.5222,59.074
2,51.412,2.68254,53.5589,52.5818,0.114196,52.6545
3,2.8539,53.7895,51.6294,0.124803,52.6624,52.5739
4,58.295,56.2792,2.76603,57.3187,57.231,0.119377
