n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.001,1,1e-05,1e-05,40,13.33,13.33,55.85437,139.312,91.67305,81.40121,126.5689,99.38603,96.09992
0.001,2,1e-05,Inf,40,20,Inf,62.5244,78.5789,2.45297,80.5797,82.7928,2.00716,84.1939
0.001,3,Inf,1e-05,40,Inf,20,62.5244,3.12792,81.4351,79.4198,1.82118,84.209,82.9709
0.001,4,20,20,Inf,20,20,Inf,99.3774,97.9244,2.76634,99.0278,98.1069,1.73858
0.001,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7762
0.1,1,1e-05,1e-05,40,13.33,13.33,51.64025,128.4767,88.50617,78.48095,115.7153,94.95389,91.18898
0.1,2,1e-05,Inf,40,20,Inf,58.3102,74.7067,2.48515,76.7174,77.9124,2.00716,79.3341
0.1,3,Inf,1e-05,40,Inf,20,58.3102,3.08666,77.4827,75.4597,1.81311,79.5281,78.2727
0.1,4,20,20,Inf,20,20,Inf,91.8552,90.2721,2.76634,91.7661,90.7552,1.74404
0.1,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.15,1,1e-05,1e-05,40,13.33,13.33,49.5119,123.3098,86.81395,77.08187,110.7455,92.70893,88.90119
0.15,2,1e-05,Inf,40,20,Inf,56.1819,72.89,2.50035,74.9054,75.6541,2.00716,77.0853
0.15,3,Inf,1e-05,40,Inf,20,56.1819,3.06751,75.6285,73.6019,1.80964,77.353,76.0896
0.15,4,20,20,Inf,20,20,Inf,88.3898,86.75,2.76634,88.3976,87.3473,1.7463
0.15,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.2,1,1e-05,1e-05,40,13.33,13.33,47.38355,118.3723,85.09454,75.7303,106.0964,90.48781,86.72832
0.2,2,1e-05,Inf,40,20,Inf,54.0536,71.158,2.51491,73.1779,73.5196,2.00716,74.9597
0.2,3,Inf,1e-05,40,Inf,20,54.0536,3.04937,73.8608,71.8306,1.80655,75.292,74.021
0.2,4,20,20,Inf,20,20,Inf,85.1327,83.4411,2.76634,85.2192,84.1329,1.74828
0.2,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.25,1,1e-05,1e-05,40,13.33,13.33,45.25521,113.6716,83.36789,74.42389,101.7485,88.30505,84.66123
0.25,2,1e-05,Inf,40,20,Inf,51.9252,69.505,2.52885,71.5292,71.499,2.00716,72.9475
0.25,3,Inf,1e-05,40,Inf,20,51.9252,3.03218,72.1735,70.1401,1.80378,73.3365,72.0584
0.25,4,20,20,Inf,20,20,Inf,82.0712,80.3323,2.76634,82.2214,81.1021,1.74999
0.25,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.3,1,1e-05,1e-05,40,13.33,13.33,43.12686,109.2092,81.64956,73.16047,97.68215,86.17108,82.69182
0.3,2,1e-05,Inf,40,20,Inf,49.7969,67.9256,2.54223,69.9539,69.5836,2.00716,71.0401
0.3,3,Inf,1e-05,40,Inf,20,49.7969,3.01586,70.5615,68.5248,1.80132,71.4788,70.1939
0.3,4,20,20,Inf,20,20,Inf,79.1927,77.4104,2.76634,79.3941,78.2446,1.75146
0.3,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.35,1,1e-05,1e-05,40,13.33,13.33,40.99851,104.982,79.95146,71.93799,93.87783,84.09313,80.81289
0.35,2,1e-05,Inf,40,20,Inf,47.6685,66.415,2.55507,68.4473,67.7654,2.00716,69.2295
0.35,3,Inf,1e-05,40,Inf,20,47.6685,3.00035,69.0197,66.98,1.79914,69.7119,68.4205
0.35,4,20,20,Inf,20,20,Inf,76.4847,74.6626,2.76634,76.727,75.5498,1.75271
0.35,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.4,1,1e-05,1e-05,40,13.33,13.33,38.87016,100.9834,78.28252,70.75451,90.31656,82.07595,79.018
0.4,2,1e-05,Inf,40,20,Inf,45.5402,64.9689,2.5674,67.0051,66.0372,2.00716,67.5087
0.4,3,Inf,1e-05,40,Inf,20,45.5402,2.98559,67.5438,65.5011,1.79721,68.0293,66.7318
0.4,4,20,20,Inf,20,20,Inf,73.9354,72.0768,2.76634,74.2101,73.0073,1.75377
0.4,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.45,1,1e-05,1e-05,40,13.33,13.33,36.7418,97.2049,76.6492,69.6082,86.9803,80.1224,77.3013
0.45,2,1e-05,Inf,40,20,Inf,43.4118,63.5831,2.57925,65.6231,64.3927,2.00716,65.871
0.45,3,Inf,1e-05,40,Inf,20,43.4118,2.97153,66.1295,64.084,1.79552,66.4253,65.1219
0.45,4,20,20,Inf,20,20,Inf,71.5336,69.6413,2.76634,71.8336,70.6072,1.75466
