n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.45,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.5,1,1e-05,1e-05,40,13.33,13.33,34.6135,93.6366,75.0561,68.4975,83.8521,78.2338,75.6577
0.5,2,1e-05,Inf,40,20,Inf,41.2835,62.2542,2.59065,64.2977,62.8258,2.00716,64.3108
0.5,3,Inf,1e-05,40,Inf,20,41.2835,2.95814,64.7731,62.7248,1.79404,64.8947,63.5856
0.5,4,20,20,Inf,20,20,Inf,69.2688,67.3453,2.76634,69.5882,68.3399,1.75538
0.5,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.55,1,1e-05,1e-05,40,13.33,13.33,32.4851,90.2676,73.5063,67.4206,80.9161,76.4106,74.0823
0.55,2,1e-05,Inf,40,20,Inf,39.1551,60.9785,2.60163,63.0255,61.3313,2.00716,62.8225
0.55,3,Inf,1e-05,40,Inf,20,39.1551,2.94535,63.4712,61.4202,1.79277,63.4324,62.118
0.55,4,20,20,Inf,20,20,Inf,67.131,65.1787,2.76634,67.4649,66.1963,1.75597
0.55,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.6,1,1e-05,1e-05,40,13.33,13.33,30.3568,87.087,72.0016,66.3761,78.1575,74.6522,72.5709
0.6,2,1e-05,Inf,40,20,Inf,37.0268,59.753,2.6122,61.8033,59.9042,2.00716,61.4015
0.6,3,Inf,1e-05,40,Inf,20,37.0268,2.93315,62.2204,60.1669,1.79168,62.0342,60.7146
0.6,4,20,20,Inf,20,20,Inf,65.1113,63.1322,2.76634,65.4555,64.1681,1.75642
0.6,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.65,1,1e-05,1e-05,40,13.33,13.33,28.2284,84.0837,70.5428,65.3626,75.5626,72.9574,71.1195
0.65,2,1e-05,Inf,40,20,Inf,34.8984,58.5748,2.62239,60.6284,58.5401,2.00716,60.0432
0.65,3,Inf,1e-05,40,Inf,20,34.8984,2.92148,61.018,58.962,1.79077,60.6958,59.3713
0.65,4,20,20,Inf,20,20,Inf,63.2012,61.1972,2.76634,63.5522,62.2473,1.75676
0.65,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.7,1,1e-05,1e-05,40,13.33,13.33,26.1001,81.2467,69.1304,64.3787,73.1191,71.3249,69.7245
0.7,2,1e-05,Inf,40,20,Inf,32.7701,57.4411,2.63221,59.4979,57.2349,2.00716,58.7436
0.7,3,Inf,1e-05,40,Inf,20,32.7701,2.91031,59.861,57.8027,1.79001,59.4137,58.0845
0.7,4,20,20,Inf,20,20,Inf,61.3928,59.3656,2.76634,61.7478,60.4265,1.757
0.7,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.75,1,1e-05,1e-05,40,13.33,13.33,23.9717,78.5656,67.7638,63.4232,70.8154,69.7527,68.3826
0.75,2,1e-05,Inf,40,20,Inf,30.6417,56.3496,2.6417,58.4095,55.9849,2.00716,57.499
0.75,3,Inf,1e-05,40,Inf,20,30.6417,2.89961,58.7471,56.6864,1.7894,58.1844,56.8505
0.75,4,20,20,Inf,20,20,Inf,59.6791,57.6301,2.76634,60.0356,58.6989,1.75714
0.75,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.8,1,1e-05,1e-05,40,13.33,13.33,21.8434,76.0303,66.4425,62.4949,68.6409,68.2388,67.0907
0.8,2,1e-05,Inf,40,20,Inf,28.5134,55.298,2.65085,57.3607,54.7866,2.00716,56.3059
0.8,3,Inf,1e-05,40,Inf,20,28.5134,2.88936,57.6738,55.6109,1.78893,57.0046,55.6664
0.8,4,20,20,Inf,20,20,Inf,58.0533,55.984,2.76634,58.4093,57.0582,1.7572
0.8,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.85,1,1e-05,1e-05,40,13.33,13.33,19.715,73.6314,65.1654,61.5926,66.5859,66.7812,65.8461
0.85,2,1e-05,Inf,40,20,Inf,26.385,54.2839,2.6597,56.3496,53.637,2.00716,55.1612
0.85,3,Inf,1e-05,40,Inf,20,26.385,2.87953,56.639,54.5739,1.78859,55.8715,54.529
0.85,4,20,20,Inf,20,20,Inf,56.5094,54.4211,2.76634,56.8632,55.4986,1.75718
0.85,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.9,1,1e-05,1e-05,40,13.33,13.33,17.5867,71.3599,63.9313,60.7154,64.6417,65.3775,64.646
0.9,2,1e-05,Inf,40,20,Inf,24.2567,53.3056,2.66825,55.3741,52.533,2.00716,54.0621
0.9,3,Inf,1e-05,40,Inf,20,24.2567,2.8701,55.6406,53.5734,1.78837,54.7824,53.4357
0.9,4,20,20,Inf,20,20,Inf,55.0419,52.9357,2.76634,55.392,54.0147,1.75708
0.9,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7763
0.95,1,1e-05,1e-05,40,13.33,13.33,15.4583,69.2073,62.7389,59.862,62.8,64.0257,63.4882
0.95,2,1e-05,Inf,40,20,Inf,22.1283,52.3612,2.67653,54.4324,51.472,2.00716,53.0057
0.95,3,Inf,1e-05,40,Inf,20,22.1283,2.86104,54.6768,52.6075,1.78826,53.7347,52.3841
0.95,4,20,20,Inf,20,20,Inf,53.6456,51.5226,2.76634,53.9907,52.6014,1.75693
0.95,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7762
0.999,1,1e-05,1e-05,40,13.33,13.33,13.3726,67.2057,61.6095,59.0481,61.0877,62.7491,62.3924
0.999,2,1e-05,Inf,40,20,Inf,20.0426,51.4668,2.68438,53.5406,50.4715,2.00716,52.0097
0.999,3,Inf,1e-05,40,Inf,20,20.0426,2.8525,53.764,51.6928,1.78826,52.746,51.3916
0.999,4,20,20,Inf,20,20,Inf,52.3417,50.2031,2.76634,52.681,51.2806,1.75672
0.999,5,Inf,Inf,Inf,Inf,Inf,Inf,2.7563,2.7767,2.7663,1.7775,2.0072,1.7762
