tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,cequa,ccc,cct1,cct2,VA_T2F,VB_T2F,VC_T2F,VA_TRIF,VB_TRIF,VC_TRIF,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,1e-05,1e-05,40,13.33,13.33,13.372567,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,8237.1127,8943.8496,9110.7694,9117.5926,8936.9073,8983.1564,67.228973,61.515717,59.068638,61.055443,62.716755,62.360439
2,1e-05,1000000,40,20,1000000,20.04256694,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10979.29583,14351.89891,9041.844176,11183.5108,14579.64423,9302.772373,52.6091602,0.01144210469,52.61645164,50.44138744,2.007072081,51.98767106
3,1000000,1e-05,40,1000000,20,20.04256694,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14351.85899,9041.702123,10979.46559,14638.10656,9351.448334,11087.09439,0.012502903,52.61724523,52.60837576,1.787936338,52.72390468,51.36159008
4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,9277.184754,11008.5656,14404.54646,9351.982352,11091.74966,14625.43384,51.17623571,51.16838134,0.01195833444,52.65854606,51.25022847,1.756960385
5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77844,14004.53398,13996.80877,13976.15398,0.007975447007,0.007975447527,0.007975487184,1.776873609,2.007093562,1.776795244
